qnum,Question,Responses,Total,Male,Female,High School or less,Some college,College graduate,"Under $25,000","$25-49,999","$50-74,999","$75-99,999","$100-149,999","Over $150,000",White,Other race,18-29,30-44,45-64,65+,Liberal,Moderate,Conservative,Republican,Democrat,Independent
0,,Chris Christe ,19.24906184,12,7,5,1,13,0,1,1,3,2,10,18,1,0,5,7,7,5,8,7,11,5,2
0,,,0.023852617,0.031168831,0.016548463,0.018726592,0.003984064,0.045296167,0,0.010416667,0.0078125,0.026548673,0.016,0.060240964,0.023285899,0.027777778,0,0.051546392,0.025,0.019390582,0.125,0.077669903,0.010785824,0.015172414,0.217391304,0.055555556
0,,Asa Hutchinson ,0.638389722,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
0,,,0.000791065,0,0.002364066,0,0,0.003484321,0,0,0,0,0,0.006024096,0.001293661,0,0,0,0.003571429,0,0,0,0.001540832,0.00137931,0,0
0,,Larry Elder ,0.66969361,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,,,0.000829856,0.002597403,0,0,0,0.003484321,0,0,0.0078125,0,0,0,0.001293661,0,0,0.010309278,0,0,0,0,0.001540832,0.00137931,0,0
0,,Will Hurd ,1.510579334,2,0,0,1,1,0,0,0,0,1,1,2,0,0,1,1,0,1,0,1,0,1,1
0,,,0.001871846,0.005194805,0,0,0.003984064,0.003484321,0,0,0,0,0.008,0.006024096,0.002587322,0,0,0.010309278,0.003571429,0,0.025,0,0.001540832,0,0.043478261,0.027777778
0,,Vivek Ramaswamy ,22.96887084,16,7,0,3,20,0,0,5,0,3,12,22,1,3,6,8,7,1,6,16,22,0,1
0,,,0.028462046,0.041558442,0.016548463,0,0.011952191,0.069686411,0,0,0.0390625,0,0.024,0.072289157,0.028460543,0.027777778,0.06122449,0.06185567,0.028571429,0.019390582,0.025,0.058252427,0.024653313,0.030344828,0,0.027777778
0,,Francis Suarez ,4.135799312,0,4,3,0,1,0,0,0,0,3,1,4,0,0,0,1,3,0,1,3,4,0,0
0,,,0.005124906,0,0.009456265,0.011235955,0,0.003484321,0,0,0,0,0.024,0.006024096,0.005174644,0,0,0,0.003571429,0.008310249,0,0.009708738,0.004622496,0.005517241,0,0
0,,Undecided,112.5160754,47,66,33,32,46,12,6,20,13,13,25,105,7,6,21,33,46,11,13,88,87,8,10
0,,,0.139425124,0.122077922,0.156028369,0.123595506,0.12749004,0.160278746,0.315789474,0.0625,0.15625,0.115044248,0.104,0.15060241,0.135834411,0.194444444,0.12244898,0.216494845,0.117857143,0.127423823,0.275,0.126213592,0.13559322,0.12,0.347826087,0.277777778
1,(Asked for respondents who report they are voting for Trump). Are you considering voting for other candidates in the primary or are you only considering voting for Donald Trump?,Other candidates ,151.4532643,73,79,73,39,39,8,21,23,26,26,24,147,5,12,18,57,60,7,21,123,141,0,4
1,,,0.332385112,0.347619048,0.321138211,0.398907104,0.24375,0.348214286,0.333333333,0.287671233,0.315068493,0.393939394,0.342105263,0.413793103,0.334851936,0.294117647,0.428571429,0.409090909,0.365384615,0.277777778,0.583333333,0.5,0.317010309,0.326388889,0,0.307692308
1,,Only Trump ,290.0297172,133,157,108,113,69,16,50,48,38,49,34,279,11,15,24,94,150,4,20,253,277,1,9
1,,,0.636510283,0.633333333,0.638211382,0.590163934,0.70625,0.616071429,0.666666667,0.684931507,0.657534247,0.575757576,0.644736842,0.586206897,0.635535308,0.647058824,0.535714286,0.545454545,0.602564103,0.694444444,0.333333333,0.476190476,0.652061856,0.641203704,1,0.692307692
1,,Undecided,14.17299932,4,10,2,8,4,0,2,2,2,1,0,13,1,1,2,5,6,1,1,12,14,0,0
1,,,0.031104605,0.019047619,0.040650407,0.010928962,0.05,0.035714286,0,0.02739726,0.02739726,0.03030303,0.013157895,0,0.029612756,0.058823529,0.035714286,0.045454545,0.032051282,0.027777778,0.083333333,0.023809524,0.030927835,0.032407407,0,0
2,(Asked for respondents who report they are voting for a candidate other than Trump). Are you considering voting for Donald Trump in the primary or are you not considering voting for Donald Trump in the primary?,Considering Trump ,67.68220991,31,36,15,25,28,2,7,9,9,10,19,66,2,4,5,30,29,0,3,63,66,0,1
2,,,0.283393178,0.246031746,0.321428571,0.294117647,0.431034483,0.217054264,1,0.411764706,0.257142857,0.257142857,0.27027027,0.234567901,0.290748899,0.166666667,0.266666667,0.15625,0.32967033,0.295918367,0,0.063829787,0.36416185,0.32038835,0,0.083333333
2,,Not considering Trump ,153.9647716,86,68,34,28,91,0,9,23,24,26,54,145,9,7,26,57,61,17,40,97,123,14,11
2,,,0.644668162,0.682539683,0.607142857,0.666666667,0.482758621,0.705426357,0,0.529411765,0.657142857,0.685714286,0.702702703,0.666666667,0.63876652,0.75,0.466666667,0.8125,0.626373626,0.62244898,1,0.85106383,0.560693642,0.597087379,1,0.916666667
2,,Undecided,17.18096226,9,8,2,5,10,0,1,3,2,1,8,16,1,4,1,4,8,0,4,13,17,0,0
2,,,0.07193866,0.071428571,0.071428571,0.039215686,0.086206897,0.07751938,0,0.058823529,0.085714286,0.057142857,0.027027027,0.098765432,0.070484581,0.083333333,0.266666667,0.03125,0.043956044,0.081632653,0,0.085106383,0.075144509,0.082524272,0,0
3,"If the Republican party primary were down to two choices, Ron DeSantis and Donald Trump, who would you choose to run for president in 2024 among the two?",Trump,487.4384682,220,268,186,168,132,33,71,76,68,82,66,467,21,30,45,171,227,14,45,415,457,1,17
3,,,0.604012972,0.571428571,0.63356974,0.69924812,0.672,0.459930314,0.846153846,0.747368421,0.598425197,0.601769912,0.650793651,0.4,0.604139715,0.6,0.625,0.46875,0.610714286,0.628808864,0.35,0.436893204,0.6394453,0.630344828,0.045454545,0.472222222
3,,DeSantis,220.8892453,120,101,52,55,112,2,15,33,34,31,74,212,9,14,36,82,86,16,42,163,190,15,9
3,,,0.273716537,0.311688312,0.238770686,0.195488722,0.22,0.390243902,0.051282051,0.157894737,0.25984252,0.300884956,0.246031746,0.448484848,0.274256145,0.257142857,0.291666667,0.375,0.292857143,0.238227147,0.4,0.40776699,0.251155624,0.262068966,0.681818182,0.25
3,,Undecided,98.67228646,45,54,28,27,43,4,9,18,11,13,25,94,5,4,15,27,48,10,16,71,78,6,10
3,,,0.122270491,0.116883117,0.127659574,0.105263158,0.108,0.149825784,0.102564103,0.094736842,0.141732283,0.097345133,0.103174603,0.151515152,0.12160414,0.142857143,0.083333333,0.15625,0.096428571,0.132963989,0.25,0.155339806,0.109399076,0.107586207,0.272727273,0.277777778
4,"Regardless of whether you currently support Donald Trump, which of the following statements comes closest to your view about which Republican has the best chance to win in 2024: Donald Trump is definitely the strongest candidate to beat Joe Biden, Donald Trump is probably the strongest candidate to beat Joe Biden, another Republican would probably be a stronger candidate than Trump, or another Republican would definitely be a stronger candidate than Trump?",Trump definitely the strongest,403.7365743,173,230,161,140,101,24,62,60,51,74,46,388,16,27,31,135,201,11,38,343,379,6,10
4,,,0.500293153,0.450520833,0.545023697,0.60754717,0.56,0.351916376,0.631578947,0.645833333,0.46875,0.451327434,0.592,0.280487805,0.503242542,0.457142857,0.551020408,0.322916667,0.482142857,0.555248619,0.275,0.37254902,0.527692308,0.522758621,0.272727273,0.277777778
4,,Trump probably the strongest,155.1512232,65,90,46,57,52,10,19,29,24,18,35,150,5,11,21,50,71,5,22,126,144,0,9
4,,,0.192256782,0.169270833,0.213270142,0.173584906,0.228,0.181184669,0.263157895,0.197916667,0.2265625,0.212389381,0.144,0.213414634,0.194552529,0.142857143,0.224489796,0.21875,0.178571429,0.196132597,0.125,0.215686275,0.193846154,0.19862069,0,0.25
4,,Another Republican would probably be stronger,104.0319791,56,48,14,33,55,3,3,26,19,14,30,98,6,8,15,47,33,13,14,76,86,6,7
4,,,0.128911994,0.145833333,0.113744076,0.052830189,0.132,0.191637631,0.078947368,0.03125,0.203125,0.168141593,0.112,0.182926829,0.127107652,0.171428571,0.163265306,0.15625,0.167857143,0.091160221,0.325,0.137254902,0.116923077,0.11862069,0.272727273,0.194444444
4,,Another Republican would definitely be stronger,97.52496839,57,40,20,13,64,1,5,10,16,12,36,90,7,2,20,35,39,10,24,64,76,10,9
4,,,0.120848784,0.1484375,0.09478673,0.075471698,0.052,0.222996516,0.026315789,0.052083333,0.078125,0.14159292,0.096,0.219512195,0.116731518,0.2,0.040816327,0.208333333,0.125,0.107734807,0.25,0.235294118,0.098461538,0.104827586,0.454545455,0.25
4,,Undecided,46.55525494,33,14,24,7,15,0,7,3,3,7,17,45,1,1,9,13,18,1,4,41,40,0,1
4,,,0.057689287,0.0859375,0.033175355,0.090566038,0.028,0.052264808,0,0.072916667,0.0234375,0.026548673,0.056,0.103658537,0.058365759,0.028571429,0.020408163,0.09375,0.046428571,0.049723757,0.025,0.039215686,0.063076923,0.055172414,0,0.027777778
5,"Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases, or illegal in all cases?","Legal in all	",47.96766396,22,26,14,13,21,2,4,6,5,13,12,44,4,8,4,17,17,13,10,24,31,10,4
5,,,0.059439484,0.056994819,0.061611374,0.052434457,0.051792829,0.073170732,0.051282051,0.041237113,0.046511628,0.044247788,0.104,0.072727273,0.057068742,0.111111111,0.163265306,0.040816327,0.060714286,0.047091413,0.325,0.097087379,0.036979969,0.04281768,0.454545455,0.108108108
5,,Legal in most,168.0008416,74,94,45,53,71,6,23,25,23,27,41,162,6,6,28,69,65,17,43,104,139,10,15
5,,,0.208179481,0.191709845,0.222748815,0.168539326,0.211155378,0.24738676,0.153846154,0.237113402,0.19379845,0.203539823,0.216,0.248484848,0.210116732,0.166666667,0.12244898,0.285714286,0.246428571,0.180055402,0.425,0.417475728,0.160246533,0.19198895,0.454545455,0.405405405
5,,Illegal in most,368.8338658,191,178,116,114,137,15,39,57,59,58,82,353,16,20,43,127,171,8,28,326,347,2,10
5,,,0.457043204,0.494818653,0.421800948,0.434456929,0.454183267,0.477351916,0.384615385,0.402061856,0.441860465,0.522123894,0.464,0.496969697,0.457846952,0.444444444,0.408163265,0.43877551,0.453571429,0.473684211,0.2,0.27184466,0.502311248,0.479281768,0.090909091,0.27027027
5,,Illegal in all,150.1536001,61,90,61,52,36,14,22,33,16,24,17,144,6,12,16,43,77,0,9,139,144,0,5
5,,,0.186063941,0.158031088,0.213270142,0.228464419,0.207171315,0.12543554,0.358974359,0.226804124,0.255813953,0.14159292,0.192,0.103030303,0.186770428,0.166666667,0.244897959,0.163265306,0.153571429,0.213296399,0,0.087378641,0.214175655,0.198895028,0,0.135135135
5,,Undecided,72.04402855,38,34,31,19,22,2,9,8,10,3,13,68,4,3,7,24,31,2,13,56,63,0,3
5,,,0.089273889,0.098445596,0.08056872,0.116104869,0.075697211,0.076655052,0.051282051,0.092783505,0.062015504,0.088495575,0.024,0.078787879,0.088197147,0.111111111,0.06122449,0.071428571,0.085714286,0.085872576,0.05,0.126213592,0.086286595,0.087016575,0,0.081081081
6,Do you support or oppose Georgia’s state law banning abortions after about six weeks of pregnancy?,Strongly support,424.931364,195,230,152,138,133,28,53,67,56,70,79,406,19,23,44,145,202,4,27,387,400,1,13
6,,,0.526556833,0.505181347,0.545023697,0.567164179,0.547619048,0.465034965,0.736842105,0.557894737,0.519379845,0.495575221,0.555555556,0.478787879,0.525226391,0.542857143,0.479166667,0.458333333,0.516014235,0.559556787,0.1,0.262135922,0.595384615,0.550964187,0.045454545,0.361111111
6,,Somewhat support,81.54408303,47,35,23,29,30,4,4,11,24,13,18,79,3,10,6,31,33,6,11,64,75,1,4
6,,,0.101045952,0.121761658,0.082938389,0.085820896,0.115079365,0.104895105,0.105263158,0.042105263,0.085271318,0.212389381,0.103174603,0.109090909,0.102199224,0.085714286,0.208333333,0.0625,0.110320285,0.091412742,0.15,0.106796117,0.098461538,0.103305785,0.045454545,0.111111111
6,,Somewhat oppose,73.67392122,36,38,16,30,28,0,13,15,9,7,16,71,3,4,14,25,31,6,16,51,65,3,5
6,,,0.091293583,0.093264249,0.090047393,0.059701493,0.119047619,0.097902098,0,0.136842105,0.11627907,0.079646018,0.055555556,0.096969697,0.091849935,0.085714286,0.083333333,0.145833333,0.088967972,0.085872576,0.15,0.155339806,0.078461538,0.08953168,0.136363636,0.138888889
6,,Strongly oppose,164.0659215,77,87,50,42,72,6,22,22,21,29,41,157,7,8,24,62,67,24,42,93,127,17,12
6,,,0.203303496,0.199481865,0.206161137,0.186567164,0.166666667,0.251748252,0.157894737,0.231578947,0.170542636,0.185840708,0.23015873,0.248484848,0.203104787,0.2,0.166666667,0.25,0.220640569,0.185595568,0.6,0.40776699,0.143076923,0.174931129,0.772727273,0.333333333
6,,Undecided,62.78471026,31,32,27,13,23,0,3,14,3,7,11,60,3,3,8,18,28,0,7,55,59,0,2
6,,,0.077800137,0.080310881,0.075829384,0.100746269,0.051587302,0.08041958,0,0.031578947,0.108527132,0.026548673,0.055555556,0.066666667,0.077619664,0.085714286,0.0625,0.083333333,0.06405694,0.077562327,0,0.067961165,0.084615385,0.081267218,0,0.055555556
7,Do you support or oppose a federal law banning abortions after 15 weeks of pregnancy?,Strongly support,430.0166305,201,229,154,133,140,22,48,65,73,72,78,411,20,30,48,157,188,9,32,382,408,2,13
7,,,0.532858278,0.5234375,0.542654028,0.578947368,0.532,0.48951049,0.578947368,0.505263158,0.511811024,0.640350877,0.571428571,0.475609756,0.531694696,0.571428571,0.612244898,0.494845361,0.560714286,0.520775623,0.225,0.310679612,0.588597843,0.562758621,0.090909091,0.361111111
7,,Somewhat support,75.38602878,39,36,17,33,26,4,3,15,9,14,27,72,3,9,12,25,29,7,23,45,67,1,7
7,,,0.093415153,0.1015625,0.085308057,0.063909774,0.132,0.090909091,0.105263158,0.031578947,0.118110236,0.078947368,0.111111111,0.164634146,0.093143596,0.085714286,0.183673469,0.12371134,0.089285714,0.08033241,0.175,0.223300971,0.069337442,0.092413793,0.045454545,0.194444444
7,,Somewhat oppose,51.15113056,22,29,10,17,23,2,7,6,8,6,13,51,0,0,13,15,23,5,8,36,44,5,2
7,,,0.063384301,0.057291667,0.068720379,0.037593985,0.068,0.08041958,0.052631579,0.073684211,0.047244094,0.070175439,0.047619048,0.079268293,0.065976714,0,0,0.134020619,0.053571429,0.063711911,0.125,0.077669903,0.055469954,0.060689655,0.227272727,0.055555556
7,,Strongly oppose,187.8615049,94,94,57,55,74,7,31,28,23,28,36,180,8,5,14,68,94,16,30,136,157,14,10
7,,,0.232789969,0.244791667,0.222748815,0.214285714,0.22,0.258741259,0.184210526,0.326315789,0.220472441,0.201754386,0.222222222,0.219512195,0.232858991,0.228571429,0.102040816,0.144329897,0.242857143,0.260387812,0.4,0.291262136,0.209553159,0.216551724,0.636363636,0.277777778
7,,Undecided,62.58470526,28,34,28,12,23,3,6,13,1,6,10,59,4,5,10,15,27,3,10,50,49,0,4
7,,,0.077552299,0.072916667,0.08056872,0.105263158,0.048,0.08041958,0.078947368,0.063157895,0.102362205,0.00877193,0.047619048,0.06097561,0.076326003,0.114285714,0.102040816,0.103092784,0.053571429,0.074792244,0.075,0.097087379,0.077041602,0.067586207,0,0.111111111
8,Do you support or oppose allowing gay and lesbian people to marry?,Strongly support,174.8481158,77,98,28,58,88,6,8,18,26,32,55,169,6,25,32,65,51,19,54,102,136,17,16
8,,,0.216664332,0.200520833,0.231678487,0.104868914,0.232,0.307692308,0.157894737,0.083333333,0.140625,0.230088496,0.256,0.331325301,0.218628719,0.171428571,0.520833333,0.336842105,0.23297491,0.141666667,0.487179487,0.524271845,0.157164869,0.187845304,0.772727273,0.444444444
8,,Somewhat support,107.849538,46,62,23,37,47,5,12,16,22,11,27,104,4,2,17,39,47,2,13,91,103,0,5
8,,,0.13364255,0.119791667,0.146572104,0.086142322,0.148,0.164335664,0.131578947,0.125,0.125,0.194690265,0.088,0.162650602,0.13454075,0.114285714,0.041666667,0.178947368,0.139784946,0.130555556,0.051282051,0.126213592,0.140215716,0.142265193,0,0.138888889
8,,Somewhat oppose,55.03194731,26,29,17,23,15,0,5,16,6,11,7,54,1,2,12,16,21,2,10,43,51,0,0
8,,,0.068193243,0.067708333,0.06855792,0.063670412,0.092,0.052447552,0,0.052083333,0.125,0.053097345,0.088,0.042168675,0.069857697,0.028571429,0.041666667,0.126315789,0.05734767,0.058333333,0.051282051,0.097087379,0.066255778,0.070441989,0,0
8,,Strongly oppose,332.1015179,160,172,150,92,88,21,52,65,45,49,44,314,18,16,22,109,176,9,14,296,315,1,10
8,,,0.411526044,0.416666667,0.406619385,0.561797753,0.368,0.307692308,0.552631579,0.541666667,0.5078125,0.398230088,0.392,0.265060241,0.406209573,0.514285714,0.333333333,0.231578947,0.390681004,0.488888889,0.230769231,0.13592233,0.456086287,0.435082873,0.045454545,0.277777778
8,,Undecided,137.1688811,75,62,49,40,48,6,19,13,14,22,33,132,6,3,12,50,65,7,12,117,119,4,5
8,,,0.16997383,0.1953125,0.146572104,0.183520599,0.16,0.167832168,0.157894737,0.197916667,0.1015625,0.123893805,0.176,0.198795181,0.17076326,0.171428571,0.0625,0.126315789,0.17921147,0.180555556,0.179487179,0.116504854,0.18027735,0.164364641,0.181818182,0.138888889
9,Do you support or oppose providing additional economic and military support to Ukraine?,Strongly support,166.213218,82,85,58,39,69,13,12,20,18,34,40,156,10,15,10,49,89,15,37,114,140,14,10
9,,,0.205964335,0.212435233,0.201421801,0.217228464,0.156,0.240418118,0.342105263,0.126315789,0.157480315,0.159292035,0.272,0.242424242,0.202072539,0.277777778,0.306122449,0.105263158,0.17562724,0.247222222,0.375,0.359223301,0.175384615,0.193103448,0.636363636,0.285714286
9,,Somewhat support,134.8846041,62,73,26,46,61,4,19,29,18,17,30,131,4,7,15,51,59,9,19,107,124,3,5
9,,,0.167143252,0.160621762,0.172985782,0.097378277,0.184,0.212543554,0.105263158,0.2,0.228346457,0.159292035,0.136,0.181818182,0.169689119,0.111111111,0.142857143,0.157894737,0.182795699,0.163888889,0.225,0.184466019,0.164615385,0.171034483,0.136363636,0.142857143
9,,Somewhat oppose,78.76347317,44,35,17,28,34,3,6,10,20,12,16,76,3,10,7,29,32,3,4,72,75,1,1
9,,,0.097600338,0.113989637,0.082938389,0.063670412,0.112,0.118466899,0.078947368,0.063157895,0.078740157,0.17699115,0.096,0.096969697,0.098445596,0.083333333,0.204081633,0.073684211,0.103942652,0.088888889,0.075,0.038834951,0.110769231,0.103448276,0.045454545,0.028571429
9,,Strongly oppose,346.1877148,163,183,134,108,104,15,48,58,44,51,68,330,17,14,50,133,142,9,34,291,320,0,17
9,,,0.428981059,0.422279793,0.433649289,0.501872659,0.432,0.362369338,0.394736842,0.505263158,0.456692913,0.389380531,0.408,0.412121212,0.42746114,0.472222222,0.285714286,0.526315789,0.476702509,0.394444444,0.225,0.330097087,0.447692308,0.44137931,0,0.485714286
9,,Undecided,80.95098986,35,46,32,29,19,3,10,10,13,11,11,79,2,3,13,17,38,4,9,66,66,4,2
9,,,0.100311016,0.090673575,0.109004739,0.119850187,0.116,0.066202091,0.078947368,0.105263158,0.078740157,0.115044248,0.088,0.066666667,0.102331606,0.055555556,0.06122449,0.136842105,0.0609319,0.105555556,0.1,0.087378641,0.101538462,0.091034483,0.181818182,0.057142857
10,Do you support or oppose a comprehensive immigration reform bill that provides a pathway to citizenship for all undocumented immigrants currently living in the United States?,Strongly support,21.24352332,66,74,32,35,71,10,9,17,12,25,46,132,8,8,24,59,48,11,40,88,106,9,14
10,,,0.201421801,0.171875,0.17535545,0.120300752,0.14,0.24738676,0.256410256,0.09375,0.1328125,0.10619469,0.198412698,0.278787879,0.171206226,0.222222222,0.16,0.25,0.209964413,0.132963989,0.275,0.384615385,0.135802469,0.14640884,0.391304348,0.388888889
10,,Somewhat support,16.06217617,51,73,29,37,58,0,15,22,23,20,30,119,5,9,26,52,34,10,23,91,111,6,6
10,,,0.172985782,0.1328125,0.172985782,0.109022556,0.148,0.202090592,0,0.15625,0.171875,0.203539823,0.158730159,0.181818182,0.154345006,0.138888889,0.18,0.270833333,0.185053381,0.094182825,0.25,0.221153846,0.140432099,0.153314917,0.260869565,0.166666667
10,,Somewhat oppose,11.39896373,42,51,32,34,27,0,16,18,20,12,16,89,5,13,11,29,38,8,12,69,87,6,1
10,,,0.082938389,0.109375,0.120853081,0.120300752,0.136,0.094076655,0,0.166666667,0.140625,0.17699115,0.095238095,0.096969697,0.115434501,0.138888889,0.26,0.114583333,0.103202847,0.105263158,0.2,0.115384615,0.106481481,0.120165746,0.260869565,0.027777778
10,,Strongly oppose,42.22797927,206,189,150,130,114,21,47,66,54,62,70,378,17,10,31,125,221,11,21,357,371,2,13
10,,,0.433649289,0.536458333,0.447867299,0.563909774,0.52,0.397212544,0.538461538,0.489583333,0.515625,0.477876106,0.492063492,0.424242424,0.490272374,0.472222222,0.2,0.322916667,0.444839858,0.612188366,0.275,0.201923077,0.550925926,0.512430939,0.086956522,0.361111111
10,,Undecided,9.067357513,19,35,23,14,17,8,9,5,4,7,3,53,1,10,4,16,20,0,8,43,49,0,2
10,,,0.109004739,0.049479167,0.082938389,0.086466165,0.056,0.059233449,0.205128205,0.09375,0.0390625,0.03539823,0.055555556,0.018181818,0.068741894,0.027777778,0.2,0.041666667,0.056939502,0.055401662,0,0.076923077,0.066358025,0.067679558,0,0.055555556
11,"Which of these two Republicans would you be more likely to support in a Republican primary for president: A candidate who focuses on defeating radical “woke” ideology in our schools, media and culture, or a candidate who focuses on restoring law and order in our streets and at the border.",Defeating woke ideology,149.3234837,66,83,51,47,51,13,20,26,28,19,31,143,7,18,23,49,57,4,17,126,136,3,8
11,,,0.185035296,0.171875,0.196682464,0.191729323,0.187250996,0.177700348,0.342105263,0.208333333,0.203125,0.247787611,0.150793651,0.187878788,0.185233161,0.2,0.367346939,0.239583333,0.175,0.157894737,0.1,0.165048544,0.194444444,0.187586207,0.136363636,0.222222222
11,,Restoring law and order,527.2710322,250,277,166,170,190,16,68,87,75,85,110,504,23,29,61,185,241,32,73,409,481,17,20
11,,,0.653371787,0.651041667,0.656398104,0.62406015,0.677290837,0.662020906,0.421052632,0.708333333,0.6796875,0.663716814,0.674603175,0.666666667,0.652849741,0.657142857,0.591836735,0.635416667,0.660714286,0.667590028,0.8,0.708737864,0.63117284,0.663448276,0.772727273,0.555555556
11,,Undecided,130.4054841,68,62,49,34,46,9,8,15,10,22,24,125,5,2,12,46,63,4,13,113,108,2,8
11,,,0.161592917,0.177083333,0.146919431,0.184210526,0.135458167,0.160278746,0.236842105,0.083333333,0.1171875,0.088495575,0.174603175,0.145454545,0.161917098,0.142857143,0.040816327,0.125,0.164285714,0.174515235,0.1,0.126213592,0.174382716,0.148965517,0.090909091,0.222222222
12,"Do you believe there was widespread voter fraud in the 2020 presidential election, or not?",Yes,491.8850951,217,275,170,178,142,27,71,92,60,78,75,470,22,23,49,176,229,17,31,430,458,5,15
12,,,0.609523042,0.563636364,0.650118203,0.639097744,0.712,0.494773519,0.710526316,0.739583333,0.71875,0.526315789,0.619047619,0.454545455,0.60880829,0.647058824,0.469387755,0.515789474,0.62633452,0.636111111,0.414634146,0.300970874,0.662557781,0.631724138,0.227272727,0.428571429
12,,No,246.738588,134,113,71,52,123,7,17,31,42,35,77,236,10,26,35,81,101,24,64,159,203,17,18
12,,,0.30574794,0.348051948,0.26713948,0.266917293,0.208,0.428571429,0.184210526,0.177083333,0.2421875,0.368421053,0.277777778,0.466666667,0.305699482,0.294117647,0.530612245,0.368421053,0.288256228,0.280555556,0.585365854,0.621359223,0.244992296,0.28,0.772727273,0.514285714
12,,Undecided,68.37631689,34,35,25,20,22,4,8,5,12,13,13,66,2,0,11,24,30,0,8,60,64,0,2
12,,,0.084729017,0.088311688,0.082742317,0.093984962,0.08,0.076655052,0.105263158,0.083333333,0.0390625,0.105263158,0.103174603,0.078787879,0.085492228,0.058823529,0,0.115789474,0.085409253,0.083333333,0,0.077669903,0.092449923,0.088275862,0,0.057142857
13,"As you may know, Donald Trump has been indicted by a federal grand jury and a Fulton County grand jury on charges related to efforts to overturn the 2020 election. Do you think the charges against Donald Trump in these cases are: ",Very serious,215.2719405,108,108,70,58,86,5,18,31,32,35,50,206,9,15,31,70,94,29,37,141,174,20,16
13,,,0.266755812,0.280519481,0.255319149,0.26119403,0.231075697,0.300699301,0.135135135,0.1875,0.244094488,0.280701754,0.277777778,0.304878049,0.266839378,0.257142857,0.3,0.322916667,0.25,0.260387812,0.725,0.359223301,0.217257319,0.24,0.909090909,0.457142857
13,,Somewhat serious,181.4548274,93,89,50,65,67,7,27,38,26,21,38,176,5,6,16,59,98,4,22,152,172,0,5
13,,,0.224851087,0.241558442,0.210401891,0.186567164,0.258964143,0.234265734,0.189189189,0.28125,0.299212598,0.228070175,0.166666667,0.231707317,0.227979275,0.142857143,0.12,0.166666667,0.210714286,0.271468144,0.1,0.213592233,0.234206471,0.237241379,0,0.142857143
13,,Not too serious,102.5094158,52,51,34,35,33,4,4,12,16,22,23,98,4,7,9,44,41,3,10,88,98,0,3
13,,,0.127025298,0.135064935,0.120567376,0.126865672,0.139442231,0.115384615,0.108108108,0.041666667,0.094488189,0.140350877,0.174603175,0.140243902,0.126943005,0.114285714,0.14,0.09375,0.157142857,0.113573407,0.075,0.097087379,0.13559322,0.135172414,0,0.085714286
13,,Not serious at all,250.1368538,111,139,84,82,84,12,28,40,34,42,48,238,13,13,33,98,100,3,30,216,233,1,11
