qnum,Question,Responses,Total,18-24,25-34,35-44,45-54,55-64,65+,Male,Female,No HS,HS GED,Some College,BA,Grad/Professional Degree,White,Black,Latino,"Under $15,000","$15,000 - $25,000","$25,000 - $35,000","$35,000 - $50,000","$50,000 - $75,000","$75,000 - $100,000","Over $100,000",Democrat,Republican,Independent
3,,"$500,000",0.04,0.00,0.01,0.05,0.02,0.17,0.02,0.03,0.05,0.00,0.04,0.02,0.05,0.12,0.03,0.07,0.05,0.13,0.00,0.01,0.01,0.00,0.09,0.13,0.04,0.04,0.03
3,,One million or more,0.03,0.03,0.02,0.00,0.03,0.03,0.01,0.04,0.02,0.03,0.01,0.01,0.05,0.03,0.01,0.05,0.02,0.03,0.00,0.08,0.01,0.01,0.04,0.04,0.03,0.01,0.02
3,,DK,0.12,0.22,0.09,0.02,0.03,0.12,0.23,0.11,0.12,0.01,0.17,0.10,0.16,0.03,0.13,0.06,0.00,0.13,0.06,0.07,0.08,0.05,0.04,0.01,0.11,0.08,0.13
4,Working hard to improve my life is very important to me,Strongly disagree,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.01,0.04,0.01,0.01,0.00,0.00,0.01,0.02,0.00,0.00,0.04,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.02
4,,Disagree,0.04,0.00,0.01,0.01,0.08,0.08,0.04,0.04,0.04,0.00,0.02,0.07,0.02,0.05,0.05,0.02,0.02,0.06,0.01,0.07,0.01,0.04,0.02,0.06,0.02,0.08,0.03
4,,Agree,0.46,0.55,0.39,0.50,0.55,0.30,0.46,0.49,0.42,0.77,0.53,0.41,0.38,0.30,0.56,0.26,0.39,0.34,0.77,0.51,0.23,0.40,0.42,0.38,0.44,0.51,0.40
4,,Strongly agree,0.45,0.45,0.54,0.49,0.36,0.61,0.38,0.41,0.49,0.16,0.43,0.49,0.52,0.64,0.36,0.66,0.59,0.59,0.15,0.33,0.73,0.56,0.53,0.57,0.49,0.38,0.54
4,,DK,0.04,0.00,0.07,0.00,0.01,0.02,0.06,0.06,0.03,0.03,0.01,0.03,0.08,0.02,0.04,0.05,0.00,0.00,0.04,0.08,0.01,0.00,0.02,0.00,0.05,0.03,0.01
5,Have things gotten better or worse for the middle class in your lifetime?,Better,0.31,0.58,0.38,0.42,0.14,0.15,0.22,0.33,0.29,0.35,0.32,0.25,0.36,0.24,0.29,0.33,0.35,0.22,0.38,0.10,0.22,0.34,0.38,0.30,0.28,0.25,0.30
5,,Worse,0.64,0.42,0.48,0.56,0.82,0.82,0.74,0.62,0.66,0.65,0.68,0.66,0.55,0.69,0.67,0.61,0.48,0.78,0.61,0.84,0.77,0.56,0.62,0.66,0.59,0.74,0.66
5,,About the same,0.02,0.00,0.02,0.02,0.04,0.03,0.04,0.02,0.02,0.00,0.01,0.05,0.02,0.02,0.02,0.01,0.02,0.00,0.01,0.06,0.01,0.03,0.00,0.02,0.03,0.01,0.03
5,,DK,0.04,0.00,0.13,0.01,0.00,0.00,0.01,0.03,0.04,0.00,0.00,0.05,0.07,0.05,0.03,0.05,0.15,0.00,0.00,0.01,0.00,0.07,0.00,0.02,0.10,0.00,0.01
6,Who or what is to blame for decline of middle class?*,Government,0.58,0.45,0.45,0.47,0.69,0.67,0.73,0.57,0.58,0.88,0.68,0.57,0.38,0.26,0.68,0.38,0.55,0.46,0.80,0.69,0.48,0.36,0.44,0.72,0.45,0.88,0.41
6,,Private corporations,0.13,0.03,0.14,0.29,0.10,0.07,0.12,0.14,0.12,0.00,0.04,0.19,0.21,0.26,0.08,0.20,0.00,0.08,0.02,0.07,0.10,0.46,0.16,0.06,0.20,0.02,0.14
6,,Foreign competition,0.06,0.31,0.00,0.07,0.03,0.04,0.02,0.07,0.05,0.00,0.10,0.06,0.06,0.07,0.06,0.08,0.46,0.00,0.00,0.15,0.07,0.07,0.03,0.06,0.07,0.02,0.12
6,,Price of oil,0.04,0.00,0.00,0.06,0.03,0.04,0.02,0.02,0.06,0.12,0.05,0.04,0.03,0.00,0.04,0.08,0.00,0.00,0.16,0.03,0.07,0.00,0.03,0.00,0.07,0.01,0.06
6,,People themselves,0.10,0.17,0.23,0.06,0.11,0.06,0.09,0.12,0.08,0.00,0.06,0.10,0.11,0.28,0.10,0.09,0.00,0.21,0.00,0.00,0.25,0.05,0.13,0.09,0.07,0.06,0.21
6,,Something else,0.06,0.03,0.16,0.06,0.02,0.11,0.02,0.07,0.06,0.00,0.04,0.04,0.16,0.12,0.02,0.17,0.00,0.25,0.02,0.00,0.03,0.04,0.19,0.07,0.11,0.02,0.05
6,,DK,0.03,0.00,0.02,0.00,0.01,0.02,0.02,0.01,0.04,0.00,0.04,0.01,0.05,0.02,0.03,0.01,0.00,0.00,0.00,0.07,0.02,0.02,0.03,0.00,0.02,0.00,0.02
7,Will next generation's standard of living be….,Much better,0.08,0.00,0.14,0.06,0.06,0.05,0.10,0.07,0.10,0.00,0.10,0.09,0.09,0.03,0.07,0.10,0.20,0.13,0.12,0.22,0.05,0.06,0.04,0.06,0.12,0.05,0.06
7,,Somewhat better,0.25,0.67,0.10,0.27,0.34,0.10,0.13,0.35,0.15,0.38,0.25,0.28,0.20,0.10,0.29,0.18,0.36,0.00,0.33,0.22,0.22,0.36,0.19,0.31,0.16,0.23,0.42
7,,About the same,0.21,0.33,0.16,0.31,0.13,0.21,0.17,0.12,0.30,0.00,0.28,0.22,0.19,0.25,0.19,0.24,0.33,0.41,0.31,0.12,0.20,0.21,0.26,0.17,0.31,0.09,0.13
7,,Somewhat worse,0.24,0.00,0.38,0.19,0.18,0.31,0.31,0.26,0.21,0.34,0.12,0.25,0.24,0.49,0.24,0.25,0.07,0.25,0.14,0.25,0.25,0.22,0.22,0.22,0.20,0.35,0.24
7,,Much worse,0.18,0.00,0.14,0.16,0.29,0.27,0.25,0.16,0.19,0.26,0.23,0.12,0.18,0.10,0.17,0.19,0.04,0.22,0.10,0.19,0.27,0.12,0.26,0.22,0.15,0.26,0.13
7,,DK,0.04,0.00,0.09,0.00,0.01,0.06,0.04,0.04,0.05,0.03,0.02,0.04,0.10,0.03,0.04,0.04,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.02,0.07,0.03,0.02
8,Middle class people live a religious lifestyle,Strongly disagree,0.03,0.01,0.05,0.02,0.03,0.02,0.02,0.04,0.02,0.00,0.00,0.02,0.09,0.02,0.01,0.05,0.02,0.00,0.01,0.00,0.01,0.05,0.12,0.01,0.05,0.00,0.02
8,,Disagree,0.36,0.47,0.42,0.45,0.18,0.30,0.25,0.35,0.37,0.41,0.43,0.33,0.26,0.28,0.39,0.31,0.31,0.31,0.56,0.14,0.37,0.33,0.21,0.36,0.29,0.35,0.43
8,,Agree,0.50,0.51,0.47,0.43,0.71,0.42,0.51,0.53,0.47,0.58,0.44,0.52,0.44,0.66,0.51,0.47,0.67,0.44,0.41,0.72,0.51,0.56,0.42,0.50,0.50,0.56,0.49
8,,Strongly agree,0.06,0.00,0.00,0.05,0.05,0.23,0.12,0.06,0.06,0.01,0.07,0.09,0.08,0.02,0.04,0.11,0.00,0.19,0.03,0.04,0.10,0.03,0.10,0.06,0.09,0.07,0.03
8,,DK,0.06,0.00,0.06,0.05,0.04,0.03,0.10,0.02,0.09,0.00,0.06,0.04,0.13,0.03,0.05,0.06,0.00,0.06,0.00,0.10,0.00,0.03,0.15,0.07,0.08,0.02,0.03
9,Middle class people get married before having children,Strongly disagree,0.04,0.00,0.00,0.05,0.07,0.11,0.01,0.01,0.07,0.00,0.08,0.04,0.03,0.02,0.03,0.03,0.02,0.38,0.00,0.00,0.01,0.03,0.02,0.04,0.04,0.03,0.05
9,,Disagree,0.32,0.36,0.37,0.35,0.26,0.30,0.32,0.26,0.39,0.19,0.29,0.38,0.35,0.41,0.22,0.46,0.46,0.38,0.22,0.29,0.65,0.37,0.44,0.25,0.47,0.22,0.38
9,,Agree,0.51,0.64,0.56,0.46,0.55,0.47,0.49,0.57,0.45,0.78,0.55,0.44,0.42,0.46,0.62,0.37,0.50,0.22,0.73,0.54,0.24,0.48,0.39,0.62,0.38,0.63,0.54
9,,Strongly agree,0.06,0.00,0.01,0.04,0.08,0.11,0.11,0.08,0.04,0.00,0.06,0.06,0.07,0.05,0.05,0.09,0.02,0.03,0.01,0.17,0.03,0.04,0.10,0.05,0.04,0.09,0.03
9,,DK,0.07,0.00,0.07,0.11,0.05,0.02,0.07,0.08,0.05,0.03,0.02,0.08,0.13,0.07,0.07,0.05,0.00,0.00,0.04,0.00,0.06,0.08,0.06,0.05,0.08,0.03,0.01
10,Middle class people keep up their homes to same standard as neighbors,Strongly disagree,0.02,0.00,0.09,0.00,0.02,0.02,0.01,0.04,0.01,0.00,0.01,0.01,0.01,0.15,0.03,0.01,0.02,0.00,0.00,0.00,0.14,0.01,0.00,0.01,0.01,0.00,0.06
10,,Disagree,0.19,0.03,0.34,0.12,0.29,0.20,0.20,0.22,0.16,0.49,0.19,0.12,0.20,0.08,0.21,0.17,0.07,0.55,0.16,0.11,0.17,0.07,0.23,0.22,0.13,0.41,0.06
10,,Agree,0.66,0.89,0.55,0.70,0.58,0.65,0.61,0.59,0.72,0.47,0.72,0.71,0.65,0.61,0.67,0.66,0.73,0.39,0.81,0.75,0.58,0.77,0.57,0.62,0.79,0.49,0.81
10,,Strongly agree,0.10,0.09,0.02,0.19,0.08,0.14,0.15,0.11,0.09,0.01,0.08,0.14,0.13,0.15,0.08,0.13,0.18,0.03,0.02,0.06,0.10,0.15,0.21,0.12,0.08,0.10,0.06
10,,DK,0.03,0.00,0.01,0.00,0.03,0.00,0.04,0.03,0.02,0.03,0.00,0.02,0.02,0.02,0.01,0.04,0.00,0.03,0.01,0.08,0.01,0.00,0.00,0.02,0.00,0.01,0.01
11,Middle class people work hard to get ahead,Strongly disagree,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
11,,Disagree,0.09,0.00,0.28,0.02,0.09,0.02,0.06,0.15,0.04,0.32,0.04,0.02,0.11,0.05,0.09,0.11,0.04,0.16,0.06,0.08,0.01,0.04,0.17,0.02,0.08,0.15,0.06
11,,Agree,0.63,0.83,0.62,0.72,0.50,0.63,0.60,0.63,0.63,0.39,0.74,0.69,0.65,0.59,0.69,0.53,0.84,0.56,0.82,0.77,0.71,0.63,0.60,0.63,0.66,0.51,0.75
11,,Strongly agree,0.26,0.17,0.10,0.27,0.38,0.35,0.30,0.21,0.30,0.26,0.20,0.28,0.22,0.34,0.22,0.35,0.11,0.28,0.12,0.15,0.27,0.32,0.23,0.32,0.26,0.33,0.19
11,,DK,0.02,0.00,0.00,0.00,0.02,0.00,0.02,0.01,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.01
12,Middle class people stay out of trouble with the law,Strongly disagree,0.04,0.00,0.06,0.04,0.01,0.05,0.02,0.04,0.04,0.00,0.02,0.04,0.05,0.02,0.02,0.03,0.04,0.00,0.01,0.00,0.01,0.03,0.08,0.07,0.01,0.00,0.04
12,,Disagree,0.21,0.43,0.38,0.11,0.20,0.19,0.05,0.17,0.25,0.05,0.26,0.24,0.17,0.30,0.17,0.25,0.57,0.47,0.11,0.24,0.38,0.14,0.23,0.21,0.33,0.06,0.30
12,,Agree,0.56,0.57,0.33,0.64,0.62,0.57,0.70,0.54,0.57,0.64,0.59,0.51,0.57,0.53,0.60,0.50,0.35,0.41,0.85,0.53,0.53,0.57,0.36,0.61,0.48,0.61,0.60
12,,Strongly agree,0.16,0.00,0.21,0.13,0.15,0.20,0.16,0.22,0.09,0.28,0.10,0.14,0.15,0.15,0.18,0.16,0.04,0.09,0.01,0.24,0.06,0.19,0.21,0.10,0.15,0.32,0.04
12,,DK,0.04,0.00,0.03,0.08,0.02,0.00,0.07,0.03,0.06,0.03,0.02,0.07,0.05,0.02,0.03,0.06,0.00,0.03,0.01,0.00,0.01,0.07,0.13,0.01,0.04,0.01,0.01
13,Middle class people save money to send their children to college,Strongly disagree,0.03,0.00,0.00,0.00,0.02,0.08,0.01,0.02,0.03,0.00,0.04,0.01,0.02,0.00,0.02,0.03,0.00,0.13,0.00,0.10,0.01,0.00,0.00,0.00,0.01,0.04,0.00
13,,Disagree,0.23,0.41,0.24,0.15,0.24,0.28,0.16,0.19,0.26,0.08,0.32,0.23,0.18,0.15,0.21,0.24,0.42,0.50,0.06,0.26,0.24,0.19,0.08,0.36,0.21,0.15,0.32
13,,Agree,0.60,0.51,0.74,0.58,0.60,0.49,0.63,0.61,0.59,0.88,0.57,0.48,0.64,0.69,0.63,0.56,0.56,0.34,0.90,0.58,0.58,0.53,0.70,0.52,0.67,0.69,0.49
13,,Strongly agree,0.13,0.09,0.03,0.27,0.13,0.13,0.18,0.17,0.10,0.01,0.07,0.28,0.13,0.15,0.14,0.15,0.02,0.03,0.03,0.07,0.17,0.27,0.21,0.11,0.10,0.12,0.18
13,,DK,0.01,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,0.03,0.00,0.01,0.03,0.02,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.01,0.01,0.00,0.01
14,How does the shrinking of the middle class make you feel?,Very worried,0.31,0.07,0.24,0.36,0.37,0.37,0.43,0.27,0.34,0.43,0.28,0.34,0.27,0.31,0.31,0.31,0.22,0.46,0.40,0.43,0.35,0.24,0.32,0.17,0.34,0.39,0.18
14,,Somewhat worried,0.31,0.30,0.41,0.19,0.37,0.27,0.29,0.37,0.25,0.56,0.23,0.31,0.28,0.36,0.35,0.23,0.57,0.00,0.15,0.33,0.38,0.35,0.39,0.39,0.26,0.52,0.32
14,,A little worried,0.21,0.33,0.14,0.36,0.17,0.16,0.12,0.17,0.25,0.01,0.30,0.26,0.16,0.20,0.24,0.20,0.09,0.21,0.41,0.08,0.14,0.34,0.13,0.32,0.22,0.04,0.29
14,,Not worried at all,0.16,0.30,0.15,0.09,0.08,0.19,0.13,0.16,0.15,0.00,0.19,0.09,0.21,0.13,0.07,0.25,0.13,0.30,0.05,0.16,0.13,0.06,0.15,0.13,0.13,0.05,0.20
14,,DK,0.02,0.00,0.07,0.01,0.01,0.02,0.02,0.03,0.01,0.00,0.01,0.01,0.08,0.00,0.03,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.00,0.05,0.01,0.01
