qnum,Question,Responses,Registered Voters,  Male,  Female,  Democrat,  Republican,  Independent,  White,  Black,  18-39,  40-64,  65+, White Protestant Evangelical,  North,  Atlanta Exurbs,  Atlanta Metro,  Southeast,  Southwest,
9,,No answer,1,-,1,1,-,-,1,-,-,1,-,1,1,-,*,-,-,
9,,,* ,- ,* ,* ,- ,- ,0.01,- ,- ,0.01,- ,0.03,0.02,- ,* ,- ,- ,
10,"For Trump supporters, how important is it that your candidate is most qualified to be president?
",Major reason,209,117,91,3,117,55,198,5,58,93,57,61,51,64,30,28,35,
10,,,0.62,0.66,0.57,0.56,0.67,0.52,0.65,0.47,0.65,0.57,0.68,0.56,0.64,0.6,0.67,0.58,0.63,
10,,Minor reason,72,38,34,-,35,32,61,6,14,41,17,28,17,26,9,12,9,
10,,,0.22,0.22,0.21,- ,0.2,0.3,0.2,0.53,0.16,0.25,0.2,0.26,0.21,0.24,0.2,0.25,0.16,
10,,Not a reason at all,52,20,32,2,21,18,44,-,16,27,8,20,12,17,5,6,12,
10,,,0.15,0.11,0.2,0.44,0.12,0.17,0.14,- ,0.18,0.17,0.1,0.18,0.14,0.16,0.12,0.13,0.21,
10,,No answer,4,2,2,-,1,1,4,-,-,2,2,*,1,1,*,2,-,
10,,,0.01,0.01,0.01,- ,0.01,0.01,0.01,- ,- ,0.01,0.02,* ,0.01,0.01,0.01,0.05,- ,
11,"For Clinton supporters, how much is it a factor that you oppose the other candidate?
",Major reason,235,97,138,141,7,67,81,131,85,120,30,9,23,43,92,35,42,
11,,,0.64,0.64,0.64,0.67,0.68,0.61,0.67,0.63,0.64,0.67,0.53,0.42,0.56,0.62,0.65,0.59,0.75,
11,,Minor reason,67,30,37,26,3,30,32,29,32,29,6,11,9,21,27,6,4,
11,,,0.18,0.2,0.17,0.12,0.32,0.27,0.27,0.14,0.24,0.16,0.11,0.51,0.21,0.3,0.19,0.11,0.07,
11,,Not a reason at all,57,22,35,36,-,13,8,41,16,29,13,1,7,6,19,18,8,
11,,,0.16,0.15,0.16,0.17,- ,0.12,0.06,0.2,0.12,0.16,0.23,0.05,0.17,0.08,0.13,0.31,0.14,
11,,No answer,9,3,6,8,-,1,*,7,-,2,7,*,2,-,5,-,2,
11,,,0.02,0.02,0.03,0.04,- ,0.01,* ,0.03,- ,0.01,0.13,0.02,0.06,- ,0.03,- ,0.04,
12,"For Trump supporters, how much is it a factor that you oppose the other candidate?",Major reason,256,137,119,2,143,73,241,3,61,125,70,91,66,85,34,31,40,
12,,,0.76,0.77,0.75,0.45,0.81,0.69,0.79,0.24,0.69,0.77,0.82,0.83,0.82,0.79,0.75,0.65,0.71,
12,,Minor reason,54,27,27,-,25,20,41,8,21,24,8,12,7,18,8,9,12,
12,,,0.16,0.15,0.17,- ,0.14,0.19,0.13,0.71,0.23,0.15,0.1,0.11,0.08,0.17,0.18,0.19,0.21,
12,,Not a reason at all,24,12,12,3,5,12,20,1,6,13,4,5,6,4,3,7,4,
12,,,0.07,0.06,0.08,0.55,0.03,0.11,0.07,0.05,0.07,0.08,0.05,0.04,0.07,0.03,0.06,0.15,0.08,
12,,No answer,4,3,1,-,3,1,4,-,-,1,3,2,2,1,-,1,-,
12,,,0.01,0.02,* ,- ,0.01,0.01,0.01,- ,- ,0.01,0.03,0.02,0.02,0.01,- ,0.01,- ,
13,"For Clinton supporters, how important is it that voting for your candidate sends a message to the political establishment?",Major reason,152,52,100,92,8,40,39,100,40,84,28,6,11,28,52,28,33,
13,,,0.41,0.34,0.46,0.44,0.77,0.36,0.32,0.48,0.3,0.47,0.51,0.31,0.27,0.4,0.36,0.46,0.6,
13,,Minor reason,102,49,52,57,2,34,43,49,45,50,7,4,17,16,36,21,12,
13,,,0.28,0.32,0.24,0.27,0.17,0.31,0.35,0.23,0.34,0.28,0.12,0.18,0.42,0.23,0.25,0.35,0.21,
13,,Not a reason at all,105,47,58,57,1,32,39,52,49,43,13,11,11,25,49,11,8,
13,,,0.28,0.31,0.27,0.27,0.05,0.29,0.32,0.25,0.36,0.24,0.24,0.51,0.27,0.37,0.34,0.18,0.15,
13,,No answer,10,4,6,5,-,5,*,8,-,3,7,-,1,-,6,1,2,
13,,,0.03,0.02,0.03,0.02,- ,0.05,* ,0.04,- ,0.02,0.13,- ,0.03,- ,0.04,0.01,0.04,
14,"For Trump supporters, how important is it that voting for your candidate sends a message to the political establishment?
",Major reason,198,116,82,2,100,67,179,9,47,93,57,66,53,59,24,29,33,
14,,,0.59,0.65,0.52,0.33,0.57,0.63,0.58,0.77,0.53,0.57,0.68,0.6,0.66,0.55,0.54,0.62,0.58,
14,,Minor reason,71,33,37,1,34,30,68,-,19,41,11,23,14,26,13,8,10,
14,,,0.21,0.19,0.23,0.13,0.19,0.28,0.22,- ,0.21,0.25,0.13,0.21,0.17,0.24,0.28,0.17,0.18,
14,,Not a reason at all,63,27,36,3,37,9,56,1,21,28,13,19,14,23,7,9,11,
14,,,0.19,0.15,0.23,0.54,0.21,0.09,0.18,0.09,0.24,0.17,0.16,0.17,0.17,0.21,0.15,0.18,0.2,
14,,No answer,5,2,4,-,4,-,4,2,1,2,3,2,-,-,2,1,2,
14,,,0.02,0.01,0.02,- ,0.02,- ,0.01,0.13,0.01,0.01,0.03,0.02,- ,- ,0.04,0.03,0.04,
15,"For Clinton supporters, how important is it that your candidate is more honest and trustworthy?
",Major reason,197,68,128,124,5,52,62,119,64,104,29,10,23,31,72,37,34,
15,,,0.53,0.45,0.59,0.59,0.54,0.47,0.51,0.57,0.48,0.58,0.53,0.5,0.55,0.45,0.5,0.62,0.61,
15,,Minor reason,95,41,54,53,3,28,42,39,43,40,12,7,10,19,42,12,13,
15,,,0.26,0.27,0.25,0.25,0.32,0.26,0.35,0.19,0.32,0.22,0.21,0.32,0.25,0.27,0.29,0.2,0.23,
15,,Not a reason at all,71,42,29,34,1,27,12,51,26,32,12,2,7,14,30,11,9,
15,,,0.19,0.28,0.13,0.16,0.14,0.24,0.1,0.24,0.2,0.18,0.22,0.08,0.16,0.21,0.21,0.18,0.17,
15,,No answer,6,1,5,-,-,4,5,-,-,4,2,2,1,5,-,-,-,
15,,,0.02,0.01,0.02,- ,- ,0.04,0.04,- ,- ,0.02,0.04,0.11,0.03,0.07,- ,- ,- ,
16,"For Trump supporters, how important is it that your candidate is more honest and trustworthy?",Major reason,244,136,107,3,127,75,225,5,58,121,63,82,62,80,34,32,36,
16,,,0.72,0.77,0.68,0.57,0.73,0.7,0.73,0.41,0.66,0.74,0.75,0.75,0.77,0.75,0.75,0.66,0.65,
16,,Minor reason,49,21,28,1,19,21,40,7,15,25,9,14,12,20,4,10,2,
16,,,0.14,0.12,0.18,0.12,0.11,0.2,0.13,0.59,0.17,0.15,0.11,0.13,0.15,0.18,0.1,0.21,0.04,
16,,Not a reason at all,40,19,21,2,27,9,38,-,15,16,9,11,6,7,5,6,16,
16,,,0.12,0.11,0.13,0.31,0.15,0.08,0.13,- ,0.17,0.1,0.1,0.11,0.08,0.06,0.12,0.12,0.28,
16,,No answer,4,1,3,-,2,1,3,-,-,1,3,2,-,1,2,-,1,
16,,,0.01,0.01,0.02,- ,0.01,0.01,0.01,- ,- ,0.01,0.04,0.02,- ,0.01,0.04,- ,0.03,
17,Would you like the next president to be someone who puts an especially major focus on trying to improve race relations in this country or someone who  does not put an especially major focus on this issue?,Tries to improve race relations,599,275,324,207,130,175,325,221,196,289,114,89,95,137,162,103,102,
17,,,0.78,0.76,0.8,0.94,0.64,0.75,0.7,0.94,0.79,0.79,0.76,0.65,0.72,0.72,0.83,0.85,0.82,
17,,Does not try to improve race relations,112,68,44,7,46,40,93,9,37,57,18,31,29,38,23,10,11,
17,,,0.15,0.19,0.11,0.03,0.23,0.17,0.2,0.04,0.15,0.16,0.12,0.23,0.22,0.2,0.12,0.09,0.09,
17,,No answer,55,19,37,7,27,17,48,5,15,22,18,17,7,17,11,8,12,
17,,,0.07,0.05,0.09,0.03,0.13,0.07,0.1,0.02,0.06,0.06,0.12,0.12,0.06,0.09,0.06,0.06,0.1,
18,Would you like the next president to be someone who supports trade agreements between the United States and other countries or someone who opposes them?,Supports trade agreements,550,258,293,190,135,156,316,188,194,263,93,97,86,136,157,89,82,
18,,,0.72,0.71,0.72,0.86,0.67,0.67,0.68,0.8,0.78,0.72,0.62,0.7,0.66,0.71,0.8,0.74,0.66,
18,,Opposes trade agreements,117,65,51,17,33,47,74,31,35,56,26,15,24,29,19,24,22,
18,,,0.15,0.18,0.13,0.08,0.16,0.2,0.16,0.13,0.14,0.15,0.17,0.11,0.18,0.15,0.1,0.2,0.17,
18,,No answer,100,39,61,14,35,30,76,16,19,49,31,26,21,28,21,8,21,
18,,,0.13,0.11,0.15,0.06,0.17,0.13,0.16,0.07,0.08,0.13,0.21,0.19,0.16,0.14,0.11,0.07,0.17,
19,"Would you like the next president to be someone who supports the international trade agreement known as the Trans-Pacific Partnership, or someone who  opposes this agreement?",Supports Trans-Pacific Partnership,291,134,157,125,59,76,140,126,109,139,42,28,44,59,94,48,46,
19,,,0.38,0.37,0.39,0.56,0.29,0.33,0.3,0.53,0.44,0.38,0.28,0.2,0.34,0.31,0.48,0.39,0.36,
19,,Opposes Trans-Pacific Partnership,261,159,102,39,77,106,185,50,71,136,53,60,50,76,58,39,38,
19,,,0.34,0.44,0.25,0.17,0.38,0.46,0.4,0.21,0.29,0.37,0.35,0.44,0.38,0.39,0.29,0.32,0.3,
19,,No answer,215,69,146,58,67,50,141,60,68,93,55,50,37,57,45,35,42,
19,,,0.28,0.19,0.36,0.26,0.33,0.22,0.3,0.25,0.27,0.25,0.36,0.36,0.28,0.3,0.23,0.29,0.33,
20,Do you have a favorable or unfavorable impression of Hillary Clinton?,Favorable,307,115,192,192,8,78,100,177,91,163,53,17,32,57,110,61,48,
20,,,0.4,0.32,0.48,0.87,0.04,0.33,0.21,0.75,0.37,0.44,0.35,0.12,0.24,0.3,0.56,0.5,0.38,
20,,Unfavorable,443,240,203,27,193,148,362,48,150,196,96,119,97,132,81,57,75,
20,,,0.58,0.66,0.5,0.12,0.95,0.64,0.78,0.21,0.61,0.53,0.64,0.86,0.74,0.69,0.41,0.47,0.6,
20,,No Answer,17,7,10,3,2,7,5,11,7,8,1,2,2,3,6,3,2,
20,,,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.05,0.03,0.02,0.01,0.02,0.02,0.01,0.03,0.03,0.02,
21,Do you have a favorable or unfavorable impression of Tim Kaine?,Favorable,264,122,142,125,37,89,144,97,76,157,32,34,43,59,83,39,41,
21,,,0.34,0.34,0.35,0.57,0.18,0.38,0.31,0.41,0.31,0.43,0.21,0.25,0.33,0.31,0.42,0.32,0.32,
21,,Unfavorable,213,115,97,34,76,56,138,52,89,84,39,34,42,61,42,36,32,
21,,,0.28,0.32,0.24,0.15,0.37,0.24,0.30,0.22,0.36,0.23,0.26,0.25,0.32,0.32,0.21,0.30,0.26,
21,,No Answer,290,124,166,62,90,88,184,87,82,127,79,69,47,72,72,46,53,
21,,,0.38,0.34,0.41,0.28,0.44,0.38,0.40,0.37,0.33,0.35,0.53,0.50,0.36,0.37,0.37,0.38,0.42,
22,Do you have a favorable or unfavorable impression of Donald Trump?,Favorable,278,147,131,9,145,77,246,16,66,134,77,83,68,82,34,50,45,
22,,,0.36,0.41,0.32,0.04,0.72,0.33,0.53,0.07,0.27,0.36,0.52,0.6,0.52,0.43,0.17,0.41,0.36,
22,,Unfavorable,448,204,244,207,48,138,201,199,173,214,61,45,58,101,154,63,72,
22,,,0.58,0.57,0.6,0.93,0.24,0.59,0.43,0.84,0.7,0.58,0.41,0.33,0.44,0.52,0.78,0.52,0.57,
22,,No Answer,40,10,30,6,9,18,19,20,9,20,11,9,5,9,9,8,9,
22,,,0.05,0.03,0.07,0.03,0.05,0.08,0.04,0.09,0.04,0.05,0.08,0.07,0.04,0.05,0.05,0.07,0.07,
23,Do you have a favorable or unfavorable impression of Mike Pence?,Favorable,286,151,135,51,113,86,216,51,75,145,66,75,60,85,63,39,40,
23,,,0.37,0.42,0.33,0.23,0.56,0.37,0.46,0.22,0.3,0.39,0.44,0.54,0.46,0.44,0.32,0.32,0.32,
23,,Unfavorable,198,103,95,87,16,67,98,76,81,94,23,13,36,41,56,35,31,
23,,,0.26,0.29,0.23,0.39,0.08,0.29,0.21,0.32,0.33,0.26,0.15,0.09,0.27,0.21,0.28,0.29,0.25,
23,,No Answer,282,107,175,83,74,80,152,108,92,129,61,50,36,66,78,47,55,
23,,,0.37,0.3,0.43,0.38,0.36,0.34,0.33,0.46,0.37,0.35,0.41,0.36,0.27,0.35,0.4,0.39,0.43,
24,Do you have a favorable or unfavorable impression of Barack Obama?,Favorable,383,151,232,209,18,107,137,207,139,182,62,28,43,76,139,69,56,
24,,,0.5,0.42,0.57,0.94,0.09,0.46,0.29,0.88,0.56,0.5,0.41,0.2,0.33,0.39,0.71,0.57,0.44,
24,,Unfavorable,344,189,155,10,176,106,307,16,90,168,85,104,82,104,49,47,63,
24,,,0.45,0.52,0.38,0.04,0.87,0.46,0.66,0.07,0.36,0.46,0.57,0.75,0.62,0.54,0.25,0.38,0.5,
24,,No Answer,39,21,18,3,8,19,23,14,18,18,3,6,6,12,9,5,7,
24,,,0.05,0.06,0.04,0.01,0.04,0.08,0.05,0.06,0.07,0.05,0.02,0.04,0.05,0.06,0.04,0.04,0.06,
25,Which vision of America is closer to your own: America is in decline and the issues facing our country today threaten our way of life and demand a president who will establish law and order or America is the greatest nation on earth and is stronger when all citizens are valued and work together to solve our toughest problems?,America is in decline ,301,145,156,50,110,96,213,67,97,139,64,77,70,81,63,42,46,
25,,,0.39,0.4,0.39,0.23,0.54,0.41,0.46,0.28,0.39,0.38,0.43,0.56,0.53,0.42,0.32,0.34,0.36,
25,,America is the greatest nation ,408,178,230,160,74,122,211,157,129,208,71,46,56,89,123,71,69,
25,,,0.53,0.49,0.57,0.72,0.37,0.53,0.45,0.67,0.52,0.56,0.47,0.34,0.42,0.46,0.63,0.58,0.55,
25,,Somewhere in between,47,34,13,7,15,13,37,7,20,20,6,12,6,20,8,6,8,
25,,,0.06,0.09,0.03,0.03,0.07,0.05,0.08,0.03,0.08,0.05,0.04,0.09,0.04,0.1,0.04,0.05,0.06,
25,,No answer,11,5,6,5,3,2,5,5,1,1,9,2,-,3,3,3,3,
25,,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,* ,0.06,0.02,- ,0.01,0.01,0.03,0.02,
26,"If the 2016 Senate election in Georgia were being held today and the candidates were Jim Barksdale, the Democrat and Johnny Isakson, the Republican, for whom would you vote/lean toward?",Jim Barksdale,324,129,194,186,6,91,102,187,113,158,52,16,47,52,117,63,46,
26,,,0.42,0.36,0.48,0.84,0.03,0.39,0.22,0.79,0.46,0.43,0.35,0.11,0.36,0.27,0.59,0.52,0.37,
26,, Johnny Isakson,370,203,167,21,192,112,333,19,102,178,88,116,78,115,65,48,64,
26,,,0.48,0.56,0.41,0.1,0.95,0.48,0.71,0.08,0.41,0.49,0.59,0.85,0.6,0.6,0.33,0.39,0.51,
26,, Other Candidate,4,3,1,1,-,2,-,2,3,1,-,-,-,2,-,2,1,
26,,,0.01,0.01,* ,* ,- ,0.01,- ,0.01,0.01,* ,- ,- ,- ,0.01,- ,0.01,0.01,
26,, Neither,30,11,19,2,3,17,11,14,15,12,4,*,3,7,4,7,8,
26,,,0.04,0.03,0.05,0.01,0.01,0.07,0.02,0.06,0.06,0.03,0.02,* ,0.03,0.04,0.02,0.06,0.07,
26,, Would Not Vote,2,1,2,*,-,1,1,*,1,2,-,-,-,2,-,*,-,
26,,,* ,* ,* ,* ,- ,0.01,* ,* ,* ,* ,- ,- ,- ,0.01,- ,* ,- ,
26,,No Answer,37,14,23,10,3,10,19,15,14,17,6,5,3,14,11,2,7,
26,,,0.05,0.04,0.06,0.05,0.01,0.04,0.04,0.06,0.06,0.05,0.04,0.04,0.02,0.07,0.06,0.01,0.05,
27,Do you have more confidence in Hillary Clinton or Donald Trump to deal with the economy?, Hillary Clinton,339,140,199,195,8,104,113,189,113,170,56,19,38,54,132,58,57,
27,,,0.44,0.39,0.49,0.88,0.04,0.45,0.24,0.8,0.45,0.46,0.38,0.14,0.29,0.28,0.67,0.48,0.45,
27,, Donald Trump,372,195,177,21,180,118,325,26,105,179,87,113,87,125,49,53,58,
27,,,0.48,0.54,0.44,0.1,0.89,0.5,0.7,0.11,0.42,0.49,0.58,0.82,0.66,0.65,0.25,0.43,0.46,
27,, Both equally,6,3,2,1,2,2,4,1,-,5,1,1,1,2,2,1,-,
27,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.01,0.01,* ,0.01,0.01,0.01,0.01,- ,
27,, Neither,40,20,21,1,11,8,21,14,30,7,3,4,5,12,10,7,6,
27,,,0.05,0.05,0.05,* ,0.06,0.03,0.04,0.06,0.12,0.02,0.02,0.03,0.04,0.06,0.05,0.05,0.05,
27,,No Answer,10,3,7,3,2,1,4,6,-,7,3,1,-,-,3,3,4,
27,,,0.01,0.01,0.02,0.01,0.01,* ,0.01,0.02,- ,0.02,0.02,0.01,- ,- ,0.02,0.02,0.03,
