qnum,Question,Responses,Total likely voters,  Male,  Female,  Democrat,  Republican,  Independent,  White,  Black,  18-39,  40-64,  65+, White Protestant Evangelical,  Atlanta Exurbs,  Atlanta Metro,  North,  Southeast,  Southwest
1,,,0.35,0.33,0.37,0.29,0.89,0.46,0.36,0.35,0.55,0.27,0.23,0.23,0.37,0.35,0.35,0.31,0.38
1,,Other reason,3,3,-,3,-,*,3,-,-,3,-,2,-,1,2,-,-
1,,,0.01,0.03,- ,0.02,- ,* ,0.04,- ,- ,0.02,- ,0.13,- ,0.01,0.07,- ,- 
1,,No answer,4,2,2,2,1,2,4,1,1,-,3,1,3,-,1,1,1
1,,,0.01,0.02,0.01,0.01,0.06,0.03,0.04,* ,0.01,- ,0.06,0.07,0.04,- ,0.02,0.01,0.01
2,"For Trump supporters, would that be more a vote for Trump or more a vote against Clinton?",Vote for Trump,152,86,66,2,97,27,135,2,35,70,47,44,38,21,30,23,40
2,,,0.47,0.48,0.46,0.28,0.51,0.36,0.47,0.32,0.39,0.47,0.57,0.42,0.43,0.47,0.45,0.41,0.6
2,,Vote against Clinton,153,80,74,4,86,42,139,4,53,72,28,53,43,22,36,27,25
2,,,0.48,0.45,0.51,0.44,0.45,0.56,0.48,0.68,0.58,0.48,0.35,0.51,0.49,0.49,0.54,0.5,0.37
2,,Other reason,11,9,2,2,3,5,11,-,2,5,4,5,5,2,-,3,1
2,,,0.03,0.05,0.01,0.18,0.02,0.07,0.04,- ,0.02,0.03,0.05,0.05,0.06,0.04,- ,0.06,0.01
2,,No answer,6,3,2,1,3,1,4,-,1,2,3,1,2,-,1,2,1
2,,,0.02,0.02,0.01,0.1,0.02,0.02,0.02,- ,0.01,0.01,0.03,0.01,0.02,- ,0.02,0.03,0.02
3,"If the 2016 Senate election in Georgia were being held today and the candidates were Jim Barksdale, the Democrat and Johnny Isakson, the Republican and Allen Buckley of the Libertarian Party, for whom would you vote, lean toward or have voted for?",Jim Barksdale,236,100,136,161,7,48,77,132,76,110,49,21,53,79,25,40,40
3,,,0.32,0.28,0.35,0.7,0.03,0.26,0.17,0.63,0.32,0.32,0.32,0.15,0.29,0.42,0.2,0.33,0.32
3,,Johnny Isakson,349,191,158,28,196,84,288,38,104,160,84,106,96,68,69,55,61
3,,,0.47,0.54,0.41,0.12,0.87,0.45,0.65,0.18,0.43,0.47,0.56,0.75,0.53,0.36,0.54,0.46,0.49
3,,Allen Buckley,79,40,39,13,6,36,40,18,32,41,5,7,20,23,20,10,5
3,,,0.11,0.11,0.1,0.06,0.03,0.2,0.09,0.08,0.13,0.12,0.03,0.05,0.11,0.12,0.16,0.08,0.04
3,,Other Candidate,1,*,*,*,-,*,*,-,-,-,1,*,-,*,*,-,-
3,,,* ,* ,* ,* ,- ,* ,* ,- ,- ,- ,* ,* ,- ,* ,* ,- ,- 
3,,Neither,4,2,2,-,1,1,2,1,-,1,3,1,2,*,1,-,1
3,,,* ,* ,* ,- ,0.01,0.01,* ,* ,- ,* ,0.02,0.01,0.01,* ,0.01,- ,0.01
3,,Would Not Vote,17,6,11,8,3,1,8,5,10,6,1,-,3,3,2,7,2
3,,,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0.02,0.04,0.02,0.01,- ,0.01,0.02,0.02,0.06,0.02
3,,No answer,53,14,39,19,10,14,28,17,18,26,9,6,7,14,10,8,14
3,,,0.07,0.04,0.1,0.08,0.05,0.07,0.06,0.08,0.08,0.08,0.06,0.04,0.04,0.08,0.08,0.06,0.12
4,Do you have a favorable or unfavorable impression of Hillary Clinton?,Favorable,282,110,172,189,14,54,82,159,86,144,51,17,59,107,30,49,37
4,,,0.38,0.31,0.45,0.82,0.06,0.29,0.18,0.76,0.35,0.42,0.34,0.12,0.33,0.57,0.23,0.41,0.3
4,,Unfavorable,430,232,198,33,208,121,350,42,151,185,94,122,113,73,96,69,79
4,,,0.58,0.66,0.52,0.14,0.93,0.65,0.79,0.2,0.63,0.54,0.62,0.86,0.63,0.39,0.75,0.58,0.65
4,,No answer,26,12,14,7,2,10,11,9,4,15,7,2,7,9,2,2,6
4,,,0.04,0.03,0.04,0.03,0.01,0.06,0.03,0.04,0.02,0.04,0.04,0.01,0.04,0.05,0.02,0.02,0.05
5,Do you have a favorable or unfavorable impression of Tim Kaine?,Favorable,235,102,132,117,34,61,107,101,54,126,54,21,63,73,27,42,29
5,,,0.32,0.29,0.34,0.51,0.15,0.33,0.24,0.48,0.22,0.37,0.36,0.15,0.35,0.39,0.21,0.36,0.24
5,,Unfavorable,317,167,149,47,137,78,226,52,120,138,59,93,79,72,58,52,57
5,,,0.43,0.47,0.39,0.21,0.61,0.42,0.51,0.25,0.5,0.4,0.39,0.66,0.44,0.38,0.45,0.44,0.46
5,,No answer,187,84,103,66,53,46,111,58,68,79,38,27,38,44,43,25,37
5,,,0.25,0.24,0.27,0.29,0.24,0.25,0.25,0.28,0.28,0.23,0.25,0.19,0.21,0.23,0.34,0.21,0.3
6,Do you have a favorable or unfavorable impression of Donald Trump?,Favorable,272,148,124,5,152,69,237,11,72,129,71,82,64,34,64,47,63
6,,,0.37,0.42,0.32,0.02,0.68,0.37,0.53,0.05,0.3,0.38,0.47,0.58,0.35,0.18,0.5,0.4,0.51
6,,Unfavorable,438,192,246,218,64,107,188,193,166,196,74,52,103,150,63,69,53
6,,,0.59,0.54,0.64,0.95,0.29,0.58,0.43,0.92,0.69,0.57,0.49,0.37,0.57,0.8,0.5,0.58,0.43
6,,No answer,29,13,15,6,8,9,18,6,4,18,7,8,13,4,1,4,7
6,,,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.03,0.02,0.05,0.04,0.05,0.07,0.02,* ,0.03,0.06
7,Do you have a favorable or unfavorable impression of Mike Pence?,Favorable,380,204,176,42,190,92,299,44,102,191,87,112,99,79,73,61,68
7,,,0.51,0.58,0.46,0.18,0.85,0.49,0.67,0.21,0.42,0.56,0.58,0.8,0.55,0.42,0.57,0.51,0.56
7,,Unfavorable,213,90,123,123,14,54,78,105,84,95,33,12,48,84,21,35,25
7,,,0.29,0.26,0.32,0.54,0.06,0.29,0.18,0.5,0.35,0.28,0.22,0.09,0.27,0.44,0.17,0.29,0.2
7,,No answer,145,59,86,65,20,40,66,62,56,57,31,17,32,26,34,24,30
7,,,0.2,0.17,0.22,0.28,0.09,0.22,0.15,0.29,0.23,0.17,0.21,0.12,0.18,0.14,0.26,0.2,0.24
8,Do you have a favorable or unfavorable impression of Barack Obama?,Favorable,369,154,215,210,28,92,126,193,133,171,63,26,81,128,47,59,53
8,,,0.5,0.44,0.56,0.91,0.12,0.5,0.28,0.92,0.55,0.5,0.41,0.18,0.45,0.68,0.37,0.5,0.44
8,,Unfavorable,337,186,151,14,188,82,301,11,94,160,84,106,89,53,73,55,67
8,,,0.46,0.53,0.39,0.06,0.84,0.44,0.68,0.05,0.39,0.46,0.55,0.75,0.49,0.28,0.58,0.46,0.55
8,,No answer,32,14,18,6,8,11,17,7,14,12,5,9,9,7,7,5,2
8,,,0.04,0.04,0.05,0.02,0.04,0.06,0.04,0.03,0.06,0.04,0.03,0.06,0.05,0.04,0.05,0.05,0.02
9,Do you have a favorable or unfavorable impression of Paul Ryan?,Favorable,260,135,125,69,89,73,164,63,79,132,50,54,67,63,45,49,37
9,,,0.35,0.38,0.33,0.3,0.4,0.4,0.37,0.3,0.33,0.38,0.33,0.38,0.37,0.33,0.35,0.41,0.3
9,,Unfavorable,304,151,152,95,81,74,183,92,92,152,59,59,74,86,48,47,48
9,,,0.41,0.43,0.4,0.42,0.36,0.4,0.41,0.44,0.38,0.44,0.39,0.42,0.41,0.46,0.38,0.39,0.39
9,,No answer,174,67,107,65,54,38,96,55,70,60,43,28,39,40,35,24,37
9,,,0.24,0.19,0.28,0.28,0.24,0.2,0.22,0.26,0.29,0.17,0.28,0.2,0.22,0.21,0.27,0.2,0.3
10,Do you have a favorable or unfavorable impression of the Republican Party?,Favorable,295,150,145,17,163,68,230,31,93,134,67,70,73,47,66,59,49
10,,,0.4,0.42,0.38,0.07,0.73,0.37,0.52,0.15,0.39,0.39,0.44,0.5,0.41,0.25,0.52,0.49,0.4
10,,Unfavorable,389,175,214,202,47,94,182,165,128,187,72,54,95,128,54,50,62
10,,,0.53,0.5,0.56,0.88,0.21,0.51,0.41,0.78,0.53,0.55,0.47,0.38,0.53,0.68,0.42,0.42,0.51
10,,No answer,55,29,26,11,14,24,31,15,19,22,13,17,11,14,8,10,12
10,,,0.07,0.08,0.07,0.05,0.06,0.13,0.07,0.07,0.08,0.06,0.09,0.12,0.06,0.08,0.06,0.08,0.1
11,Do you have a favorable or unfavorable impression of the Democratic Party?,Favorable,304,116,189,206,14,61,100,171,102,141,60,20,58,113,36,54,43
11,,,0.41,0.33,0.49,0.9,0.06,0.33,0.23,0.81,0.42,0.41,0.4,0.14,0.32,0.6,0.28,0.45,0.35
11,,Unfavorable,390,221,170,19,206,103,320,31,125,183,82,112,113,66,82,54,76
11,,,0.53,0.62,0.44,0.08,0.92,0.56,0.72,0.15,0.52,0.53,0.54,0.79,0.63,0.35,0.64,0.45,0.62
11,,No answer,43,17,26,5,4,21,23,9,14,20,10,9,9,10,9,11,4
11,,,0.06,0.05,0.07,0.02,0.02,0.11,0.05,0.04,0.06,0.06,0.06,0.07,0.05,0.05,0.07,0.1,0.03
12,Do you approve or disapprove of the way Barack Obama is handling his job as president?,Approve,365,152,213,211,20,93,118,195,135,166,62,24,81,126,47,58,53
12,,,0.49,0.43,0.55,0.92,0.09,0.5,0.27,0.93,0.56,0.48,0.41,0.17,0.45,0.67,0.37,0.49,0.43
12,,Disapprove,353,195,158,10,201,88,313,11,100,169,83,116,97,55,76,59,67
12,,,0.48,0.55,0.41,0.04,0.9,0.48,0.71,0.05,0.42,0.49,0.55,0.82,0.54,0.29,0.59,0.5,0.54
12,,No answer,20,7,13,8,4,4,13,5,5,8,6,2,1,8,5,2,4
12,,,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.01,0.01,0.04,0.04,0.02,0.03
13,"Do you think the outcome of this election matters to the country's future, or do you think it doesn't make much difference whether Clinton or Trump wins?","Matters, great deal",604,285,320,181,205,146,384,150,190,281,132,121,149,144,110,99,103
13,,,0.82,0.81,0.83,0.79,0.91,0.79,0.87,0.71,0.79,0.82,0.87,0.85,0.83,0.76,0.86,0.83,0.84
13,,"Matters, somewhat",63,32,30,25,12,14,33,24,26,24,13,12,12,19,13,7,12
13,,,0.09,0.09,0.08,0.11,0.05,0.08,0.08,0.11,0.11,0.07,0.08,0.09,0.07,0.1,0.1,0.06,0.09
13,,Doesn't make much difference,60,34,27,18,8,24,24,29,24,31,5,8,17,22,5,10,7
13,,,0.08,0.09,0.07,0.08,0.04,0.13,0.05,0.14,0.1,0.09,0.03,0.06,0.09,0.12,0.04,0.08,0.05
13,,No answer,10,3,8,5,-,1,2,8,1,8,2,-,2,3,-,3,2
13,,,0.01,0.01,0.02,0.02,- ,0.01,0.01,0.04,* ,0.02,0.01,- ,0.01,0.02,- ,0.02,0.02
14,"Do you think Hillary Clinton is qualified to serve as president, or not?",Yes,415,172,243,222,52,103,168,198,143,202,69,42,100,135,57,66,56
14,,,0.56,0.49,0.63,0.97,0.23,0.56,0.38,0.94,0.59,0.59,0.45,0.3,0.56,0.72,0.45,0.55,0.46
14,,No,316,181,135,7,172,79,272,11,98,138,79,99,78,52,70,53,63
14,,,0.43,0.51,0.35,0.03,0.77,0.42,0.61,0.05,0.41,0.4,0.52,0.7,0.43,0.28,0.55,0.44,0.52
14,,No answer,7,1,7,*,-,3,3,2,-,3,3,-,2,1,1,*,3
14,,,0.01,* ,0.02,* ,- ,0.02,0.01,0.01,- ,0.01,0.02,- ,0.01,0.01,* ,* ,0.03
15,"Do you think Hillary Clinton is honest and trustworthy, or not?",Yes,223,89,135,157,4,48,69,130,63,112,46,15,40,80,27,37,39
15,,,0.3,0.25,0.35,0.69,0.02,0.26,0.16,0.62,0.26,0.33,0.31,0.11,0.22,0.42,0.21,0.31,0.32
15,,No,479,258,221,53,219,129,367,58,172,210,96,125,133,96,97,75,78
15,,,0.65,0.73,0.57,0.23,0.98,0.7,0.83,0.28,0.71,0.61,0.64,0.88,0.74,0.51,0.76,0.63,0.64
15,,No answer,36,7,29,19,1,8,7,22,6,21,9,1,6,13,4,7,6
15,,,0.05,0.02,0.08,0.08,* ,0.04,0.02,0.11,0.03,0.06,0.06,0.01,0.03,0.07,0.03,0.06,0.05
16,"Do you think Hillary Clinton has the kind of personality and temperament it takes to serve effectively as president, or not?",Yes,406,174,231,217,49,102,162,192,138,198,68,39,104,133,50,68,52
16,,,0.55,0.49,0.6,0.95,0.22,0.55,0.37,0.91,0.57,0.58,0.45,0.28,0.58,0.7,0.39,0.57,0.42
16,,No,323,177,146,9,175,81,279,13,102,139,81,102,74,55,78,48,68
16,,,0.44,0.5,0.38,0.04,0.78,0.44,0.63,0.06,0.42,0.41,0.54,0.72,0.41,0.29,0.61,0.4,0.55
16,,No answer,10,3,7,4,-,3,2,6,1,6,3,-,2,1,1,3,3
16,,,0.01,0.01,0.02,0.02,- ,0.02,0.01,0.03,* ,0.02,0.02,- ,0.01,0.01,* ,0.03,0.03
17,"Do you think Hillary Clinton knows enough about world affairs to serve effectively as president, or not?",Yes,526,238,288,226,111,132,259,203,190,245,89,70,139,156,75,78,79
17,,,0.71,0.67,0.75,0.99,0.5,0.71,0.58,0.97,0.79,0.71,0.59,0.5,0.77,0.82,0.59,0.65,0.64
17,,No,201,113,88,1,112,48,179,6,48,93,60,70,38,32,51,41,39
17,,,0.27,0.32,0.23,0.01,0.5,0.26,0.4,0.03,0.2,0.27,0.4,0.49,0.21,0.17,0.4,0.34,0.32
17,,No answer,11,2,9,2,1,5,6,2,3,5,2,1,3,2,2,1,4
17,,,0.01,0.01,0.02,0.01,* ,0.03,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04
18,"Do you think Donald Trump is qualified to serve as president, or not?",Yes,327,182,144,16,181,83,287,14,95,156,75,107,89,44,70,56,68
18,,,0.44,0.52,0.37,0.07,0.81,0.45,0.65,0.07,0.4,0.45,0.5,0.76,0.49,0.23,0.55,0.47,0.56
18,,No,400,171,229,213,41,99,151,191,146,180,72,32,89,144,53,63,51
18,,,0.54,0.48,0.6,0.93,0.18,0.53,0.34,0.91,0.6,0.53,0.48,0.23,0.49,0.76,0.42,0.53,0.41
18,,No answer,11,*,11,-,2,4,5,5,-,7,4,2,2,1,4,*,4
18,,,0.02,* ,0.03,- ,0.01,0.02,0.01,0.02,- ,0.02,0.03,0.01,0.01,0.01,0.03,* ,0.03
19,"Do you think Donald Trump is honest and trustworthy, or not?",Yes,298,155,143,12,173,76,259,11,87,136,75,94,77,44,67,51,59
19,,,0.4,0.44,0.37,0.05,0.77,0.41,0.58,0.05,0.36,0.4,0.49,0.67,0.43,0.24,0.52,0.43,0.48
19,,No,415,190,225,212,48,101,172,189,151,196,67,45,96,142,56,63,59
19,,,0.56,0.54,0.59,0.93,0.21,0.55,0.39,0.9,0.63,0.57,0.44,0.32,0.53,0.75,0.44,0.53,0.48
19,,No answer,25,8,17,5,4,8,12,10,3,12,10,3,7,3,5,5,5
19,,,0.03,0.02,0.04,0.02,0.02,0.04,0.03,0.05,0.01,0.03,0.06,0.02,0.04,0.01,0.04,0.04,0.04
20,"Do you think Donald Trump has the kind of personality and temperament it takes to serve effectively as president, or not?",Yes,262,147,115,4,151,69,236,8,71,126,64,86,69,38,56,42,57
20,,,0.35,0.41,0.3,0.02,0.67,0.37,0.53,0.04,0.3,0.37,0.43,0.61,0.38,0.2,0.44,0.35,0.46
20,,No,457,199,257,224,68,111,198,196,168,207,79,52,107,150,66,74,60
20,,,0.62,0.56,0.67,0.98,0.3,0.6,0.45,0.93,0.7,0.6,0.52,0.37,0.59,0.79,0.51,0.62,0.49
20,,No answer,20,7,12,1,6,5,9,7,2,10,8,3,4,1,6,3,6
20,,,0.03,0.02,0.03,* ,0.03,0.03,0.02,0.04,0.01,0.03,0.05,0.02,0.02,0.01,0.04,0.03,0.05
21,"Do you think Donald Trump knows enough about world affairs to serve effectively as president, or not?",Yes,299,158,142,10,174,77,256,16,92,139,68,96,77,41,69,49,64
21,,,0.41,0.45,0.37,0.04,0.78,0.42,0.58,0.08,0.38,0.41,0.45,0.68,0.43,0.22,0.54,0.41,0.52
21,,No,426,191,235,219,48,105,181,188,149,194,82,44,100,146,55,69,56
21,,,0.58,0.54,0.61,0.95,0.21,0.57,0.41,0.9,0.62,0.56,0.54,0.31,0.56,0.77,0.43,0.58,0.46
21,,No answer,13,5,8,1,2,3,6,6,-,10,2,1,3,2,4,1,3
21,,,0.02,0.01,0.02,* ,0.01,0.01,0.01,0.03,- ,0.03,0.01,0.01,0.02,0.01,0.03,0.01,0.02
22,"Would you be more likely to vote for an elected official in Georgia who supports Donald Trump for president, less likely, or wouldn't it make much difference in your vote?",More likely,156,84,72,5,99,31,137,8,38,69,49,48,35,18,37,27,39
22,,,0.21,0.24,0.19,0.02,0.44,0.16,0.31,0.04,0.16,0.2,0.32,0.34,0.2,0.1,0.29,0.22,0.31
22,,Less likely,253,99,154,156,13,64,81,131,94,116,42,15,64,89,26,46,28
22,,,0.34,0.28,0.4,0.68,0.06,0.34,0.18,0.62,0.39,0.34,0.28,0.11,0.36,0.47,0.2,0.39,0.23
22,,Wouldn't make much difference,315,168,148,66,110,84,217,67,107,151,57,77,75,78,64,45,52
22,,,0.43,0.47,0.38,0.29,0.49,0.45,0.49,0.32,0.44,0.44,0.38,0.55,0.42,0.41,0.5,0.38,0.43
22,,No answer,14,3,11,2,1,8,7,5,2,8,4,1,5,4,1,1,4
22,,,0.02,0.01,0.03,0.01,0.01,0.04,0.02,0.03,0.01,0.02,0.03,0.01,0.03,0.02,0.01,0.01,0.03
23,Do you think Trump's treatment of women is or is not a legitimate issue in the presidential election?,Legitimate issue,430,199,231,194,81,109,204,164,156,199,74,66,104,132,67,71,55
23,,,0.58,0.56,0.6,0.85,0.36,0.59,0.46,0.78,0.65,0.58,0.49,0.47,0.58,0.7,0.53,0.6,0.45
23,,Not a legitimate issue,295,147,148,33,141,69,232,41,83,137,75,73,73,54,58,45,65
23,,,0.4,0.42,0.38,0.15,0.63,0.37,0.52,0.19,0.34,0.4,0.5,0.52,0.41,0.29,0.45,0.38,0.53
23,,No answer,14,7,6,2,2,7,8,5,3,8,3,1,2,3,3,3,3
23,,,0.02,0.02,0.02,0.01,0.01,0.04,0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.02
24,Do you think Bill Clinton's treatment of women is or is not a legitimate issue in the presidential election?,Legitimate issue,232,135,97,33,99,67,163,36,88,88,56,62,58,48,45,40,41
24,,,0.31,0.38,0.25,0.14,0.44,0.36,0.37,0.17,0.36,0.26,0.37,0.44,0.32,0.25,0.35,0.34,0.33
24,,Not a legitimate issue,489,213,276,187,125,114,276,163,152,246,89,80,118,138,81,78,73
24,,,0.66,0.6,0.72,0.82,0.56,0.61,0.62,0.78,0.63,0.72,0.59,0.56,0.66,0.73,0.64,0.65,0.6
24,,No answer,17,6,12,9,*,4,5,11,1,9,6,-,3,3,1,2,9
24,,,0.02,0.02,0.03,0.04,* ,0.02,0.01,0.05,0.01,0.03,0.04,- ,0.02,0.01,0.01,0.01,0.07
25,"How confident are you that your vote for president will be accurately counted this year: very confident, somewhat confident, not too confident or not confident at all?",Very confident,329,166,163,124,87,83,187,111,77,170,80,53,90,101,42,52,44
25,,,0.45,0.47,0.42,0.54,0.39,0.45,0.42,0.53,0.32,0.5,0.53,0.37,0.5,0.53,0.33,0.44,0.36
25,,Somewhat confident,244,107,137,89,67,57,134,73,99,105,39,53,63,63,36,39,43
25,,,0.33,0.3,0.36,0.39,0.3,0.31,0.3,0.35,0.41,0.31,0.26,0.37,0.35,0.33,0.28,0.32,0.35
25,,Not too confident,98,49,49,8,45,21,77,12,39,43,16,24,13,13,33,18,21
25,,,0.13,0.14,0.13,0.03,0.2,0.11,0.17,0.06,0.16,0.12,0.11,0.17,0.07,0.07,0.26,0.15,0.17
25,,Not confident at all,54,30,24,4,18,23,38,11,23,22,9,9,11,8,16,8,11
25,,,0.07,0.08,0.06,0.02,0.08,0.13,0.09,0.05,0.09,0.06,0.06,0.06,0.06,0.04,0.13,0.07,0.09
25,,No answer,13,1,12,6,6,1,8,4,3,4,6,3,2,4,1,2,4
25,,,0.02,* ,0.03,0.03,0.03,* ,0.02,0.02,0.01,0.01,0.04,0.02,0.01,0.02,0.01,0.02,0.03
26,"Are you willing to accept the outcome of the 2016 election if the candidate you support loses, or will you not accept the outcome?",Will accept outcome,647,316,331,195,197,170,393,177,210,299,137,121,163,152,119,106,108
26,,,0.88,0.89,0.86,0.85,0.88,0.91,0.89,0.84,0.87,0.87,0.9,0.86,0.91,0.8,0.93,0.89,0.88
26,,Will not accept outcome,72,26,46,32,19,11,37,30,27,35,10,15,12,28,8,11,13
26,,,0.1,0.07,0.12,0.14,0.09,0.06,0.08,0.14,0.11,0.1,0.06,0.1,0.07,0.15,0.06,0.09,0.1
26,,No answer,19,11,7,2,8,5,13,3,4,9,5,6,4,9,1,2,3
26,,,0.03,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.02,0.05,0.01,0.02,0.02
27,Do you think things in this country are generally going in the right direction or do you feel things have gotten pretty seriously off on the wrong track?,Right direction,204,99,105,131,20,44,82,98,66,95,42,11,56,71,21,28,28
27,,,0.28,0.28,0.27,0.57,0.09,0.24,0.19,0.47,0.27,0.28,0.28,0.08,0.31,0.38,0.17,0.24,0.23
27,,Wrong track,497,241,256,81,200,130,348,96,159,235,102,127,114,108,103,81,91
27,,,0.67,0.68,0.67,0.35,0.89,0.7,0.78,0.46,0.66,0.68,0.67,0.9,0.64,0.57,0.81,0.68,0.74
27,,No answer,37,14,23,18,5,11,13,16,16,14,7,3,10,10,4,9,4
27,,,0.05,0.04,0.06,0.08,0.02,0.06,0.03,0.08,0.07,0.04,0.05,0.02,0.06,0.05,0.03,0.08,0.03
28,"The Georgia ballot includes a constitutional amendment that would allow the state to take control of persistently low performing schools. Supporters say the state  will improve student performance in these schools and will be more flexible than local districts. Opponents say the amendment would eliminate local decision-making and  create more bureaucracy. If the election was being held today, how would you vote, yes in favor of this amendment, or no against this amendment?","Yes, in favor",249,131,118,79,64,70,152,66,83,113,52,42,57,59,43,47,43
28,,,0.34,0.37,0.31,0.34,0.28,0.38,0.34,0.32,0.34,0.33,0.34,0.3,0.32,0.31,0.33,0.39,0.35
28,,"No, against",432,197,236,135,136,104,254,128,148,198,86,87,111,119,75,63,65
28,,,0.59,0.56,0.61,0.59,0.6,0.56,0.57,0.61,0.61,0.58,0.57,0.62,0.62,0.63,0.58,0.53,0.53
28,,No answer,57,26,31,15,25,11,38,16,10,33,13,12,12,12,10,9,14
28,,,0.08,0.07,0.08,0.07,0.11,0.06,0.08,0.08,0.04,0.1,0.09,0.08,0.06,0.06,0.08,0.08,0.12
