qnum,Question,Responses,Total,Male,Female,Democrat,Independent,Republican,White,Black,18-30,31-45,46-64,65+,Atlanta,North GA,South GA,Protestant,Catholic,Jewish,Muslim,Secular/Atheist
3,Do you have a favorable or unfavorable impression of the Democratic Party?,Favorable,363.00,152.00,212.00,289.00,26.00,34.00,139.00,169.00,97.00,90.00,114.00,55.00,194.00,93.00,76.00,166.00,36.00,4.00,7.00,62.00
3,,,0.39,0.36,0.41,0.73,0.21,0.09,0.27,0.63,0.50,0.40,0.36,0.32,0.48,0.30,0.34,0.35,0.39,0.40,0.58,0.40
3,,Unfavorable,454.00,236.00,218.00,65.00,56.00,303.00,331.00,58.00,64.00,109.00,157.00,106.00,158.00,179.00,116.00,261.00,43.00,3.00,4.00,69.00
3,,,0.48,0.55,0.43,0.16,0.46,0.84,0.63,0.22,0.33,0.49,0.50,0.61,0.39,0.57,0.52,0.55,0.46,0.30,0.33,0.44
3,,Don't know,123.00,40.00,83.00,43.00,40.00,25.00,55.00,42.00,33.00,25.00,44.00,13.00,51.00,42.00,30.00,51.00,14.00,3.00,1.00,25.00
3,,,0.13,0.09,0.16,0.11,0.33,0.07,0.11,0.16,0.17,0.11,0.14,0.08,0.13,0.13,0.14,0.11,0.15,0.30,0.08,0.16
4,Do you have a favorable or unfavorable impression of the Republican Party?,Favorable,315.00,152.00,163.00,20.00,21.00,259.00,258.00,19.00,45.00,62.00,119.00,79.00,89.00,138.00,87.00,197.00,30.00,5.00,3.00,25.00
4,,,0.34,0.36,0.32,0.05,0.17,0.71,0.49,0.07,0.23,0.28,0.38,0.45,0.22,0.44,0.39,0.41,0.32,0.46,0.25,0.16
4,,Unfavorable,533.00,241.00,292.00,354.00,78.00,76.00,218.00,221.00,130.00,139.00,169.00,79.00,275.00,147.00,111.00,239.00,50.00,6.00,9.00,116.00
4,,,0.57,0.56,0.57,0.89,0.64,0.21,0.42,0.82,0.67,0.62,0.54,0.45,0.68,0.47,0.50,0.50,0.54,0.55,0.75,0.75
4,,Don't know,93.00,35.00,58.00,22.00,23.00,28.00,49.00,29.00,19.00,23.00,27.00,16.00,39.00,30.00,24.00,42.00,13.00,0.00,0.00,14.00
4,,,0.10,0.08,0.11,0.06,0.19,0.08,0.09,0.11,0.10,0.10,0.09,0.09,0.10,0.10,0.11,0.09,0.14,0.00,0.00,0.09
5,How satisfied are you with the way things are going in Georgia today?,Very satisfied,90.00,62.00,29.00,10.00,11.00,66.00,71.00,10.00,15.00,16.00,30.00,25.00,29.00,40.00,21.00,51.00,8.00,1.00,0.00,7.00
5,,,0.10,0.15,0.06,0.03,0.09,0.18,0.14,0.04,0.08,0.07,0.10,0.15,0.07,0.13,0.10,0.11,0.09,0.09,0.00,0.05
5,,Somewhat satisfied,511.00,241.00,270.00,165.00,63.00,250.00,321.00,120.00,92.00,123.00,177.00,103.00,209.00,184.00,116.00,279.00,62.00,6.00,5.00,72.00
5,,,0.54,0.56,0.53,0.42,0.52,0.69,0.61,0.44,0.48,0.55,0.56,0.60,0.52,0.59,0.52,0.58,0.66,0.55,0.46,0.47
5,,Somewhat dissatisfied,246.00,91.00,155.00,170.00,28.00,38.00,101.00,106.00,67.00,59.00,81.00,32.00,112.00,77.00,58.00,114.00,20.00,2.00,4.00,57.00
5,,,0.26,0.21,0.30,0.43,0.23,0.11,0.19,0.39,0.35,0.26,0.26,0.19,0.28,0.25,0.26,0.24,0.21,0.18,0.36,0.37
5,,Very dissatisfied,76.00,23.00,53.00,46.00,17.00,5.00,26.00,31.00,17.00,20.00,24.00,10.00,43.00,11.00,22.00,27.00,4.00,2.00,1.00,13.00
5,,,0.08,0.05,0.10,0.12,0.14,0.01,0.05,0.12,0.09,0.09,0.08,0.06,0.11,0.04,0.10,0.06,0.04,0.18,0.09,0.08
5,,Don't know,17.00,11.00,6.00,6.00,3.00,3.00,8.00,3.00,2.00,6.00,4.00,3.00,10.00,2.00,5.00,7.00,0.00,0.00,1.00,6.00
5,,,0.02,0.03,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.03,0.01,0.02,0.02,0.00,0.00,0.09,0.04
6,How satisfied are you with the way things are going in the U.S. today?,Very satisfied,75.00,51.00,25.00,5.00,5.00,64.00,61.00,3.00,8.00,13.00,28.00,23.00,16.00,36.00,24.00,44.00,10.00,3.00,0.00,5.00
6,,,0.08,0.12,0.05,0.01,0.04,0.18,0.12,0.01,0.04,0.06,0.09,0.13,0.04,0.12,0.11,0.09,0.11,0.27,0.00,0.03
6,,Somewhat satisfied,313.00,157.00,156.00,56.00,37.00,202.00,232.00,46.00,46.00,82.00,116.00,58.00,102.00,128.00,81.00,178.00,32.00,1.00,1.00,42.00
6,,,0.33,0.37,0.30,0.14,0.31,0.56,0.44,0.17,0.24,0.37,0.37,0.34,0.25,0.41,0.37,0.37,0.34,0.09,0.08,0.27
6,,Somewhat dissatisfied,274.00,130.00,144.00,142.00,40.00,74.00,127.00,98.00,81.00,64.00,81.00,42.00,124.00,92.00,57.00,135.00,28.00,2.00,8.00,53.00
6,,,0.29,0.30,0.28,0.36,0.33,0.20,0.24,0.36,0.42,0.29,0.26,0.24,0.31,0.29,0.26,0.28,0.30,0.18,0.67,0.34
6,,Very dissatisfied,266.00,83.00,183.00,190.00,37.00,19.00,97.00,120.00,59.00,61.00,88.00,46.00,153.00,57.00,57.00,114.00,22.00,5.00,3.00,53.00
6,,,0.28,0.19,0.36,0.48,0.31,0.05,0.19,0.45,0.30,0.27,0.28,0.27,0.38,0.18,0.26,0.24,0.24,0.46,0.25,0.34
6,,Don't know,11.00,7.00,5.00,4.00,2.00,3.00,8.00,2.00,0.00,4.00,2.00,4.00,8.00,1.00,3.00,8.00,1.00,0.00,0.00,2.00
6,,,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.02,0.01,0.02,0.02,0.00,0.01,0.02,0.01,0.00,0.00,0.01
7,How would you describe the state of Georgia's economy?,Excellent,57.00,40.00,18.00,9.00,7.00,40.00,40.00,5.00,11.00,12.00,14.00,18.00,29.00,21.00,7.00,30.00,6.00,1.00,0.00,8.00
7,,,0.06,0.09,0.04,0.02,0.06,0.11,0.08,0.02,0.06,0.05,0.04,0.10,0.07,0.07,0.03,0.06,0.06,0.10,0.00,0.05
7,,Good,424.00,205.00,219.00,129.00,59.00,214.00,301.00,81.00,42.00,101.00,171.00,92.00,176.00,154.00,92.00,236.00,47.00,5.00,8.00,53.00
7,,,0.45,0.48,0.43,0.33,0.48,0.59,0.57,0.30,0.22,0.45,0.54,0.53,0.44,0.49,0.42,0.50,0.50,0.50,0.73,0.34
7,,Fair,355.00,151.00,204.00,200.00,45.00,86.00,157.00,130.00,104.00,88.00,103.00,52.00,160.00,111.00,84.00,162.00,31.00,4.00,3.00,76.00
7,,,0.38,0.35,0.40,0.50,0.37,0.24,0.30,0.48,0.54,0.39,0.33,0.30,0.40,0.35,0.38,0.34,0.33,0.40,0.27,0.49
7,,Poor,87.00,24.00,63.00,52.00,8.00,17.00,19.00,48.00,34.00,21.00,24.00,8.00,29.00,22.00,35.00,41.00,7.00,0.00,0.00,17.00
7,,,0.09,0.06,0.12,0.13,0.07,0.05,0.04,0.18,0.18,0.09,0.08,0.05,0.07,0.07,0.16,0.09,0.07,0.00,0.00,0.11
7,,Don't know,17.00,8.00,9.00,7.00,3.00,6.00,8.00,5.00,3.00,3.00,4.00,4.00,8.00,6.00,3.00,8.00,3.00,0.00,0.00,1.00
7,,,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.00,0.00,0.01
8,What is the single most important issue facing Georgia today? ,Economy/Jobs,144.00,66.00,78.00,55.00,22.00,59.00,79.00,47.00,30.00,39.00,48.00,24.00,42.00,60.00,42.00,82.00,14.00,0.00,1.00,21.00
8,,,0.15,0.15,0.15,0.14,0.18,0.16,0.15,0.17,0.15,0.17,0.15,0.14,0.10,0.19,0.19,0.17,0.15,0.00,0.08,0.14
8,,Taxes,34.00,21.00,13.00,9.00,1.00,19.00,20.00,9.00,8.00,9.00,10.00,5.00,11.00,15.00,8.00,21.00,1.00,0.00,0.00,2.00
8,,,0.04,0.05,0.03,0.02,0.01,0.05,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.05,0.04,0.04,0.01,0.00,0.00,0.01
8,,Education,298.00,130.00,168.00,142.00,43.00,98.00,158.00,92.00,79.00,77.00,90.00,44.00,149.00,87.00,62.00,133.00,24.00,4.00,8.00,66.00
8,,,0.32,0.30,0.33,0.36,0.35,0.27,0.30,0.34,0.41,0.34,0.29,0.25,0.37,0.28,0.28,0.28,0.26,0.36,0.67,0.43
8,,Transportation,128.00,76.00,52.00,50.00,15.00,61.00,79.00,26.00,30.00,32.00,46.00,17.00,83.00,32.00,13.00,64.00,22.00,3.00,1.00,21.00
8,,,0.14,0.18,0.10,0.13,0.12,0.17,0.15,0.10,0.15,0.14,0.15,0.10,0.21,0.10,0.06,0.13,0.23,0.27,0.08,0.14
8,,Crime/Public Safety,104.00,39.00,66.00,35.00,10.00,54.00,60.00,31.00,11.00,21.00,34.00,34.00,29.00,39.00,36.00,59.00,12.00,0.00,0.00,14.00
8,,,0.11,0.09,0.13,0.09,0.08,0.15,0.11,0.12,0.06,0.09,0.11,0.20,0.07,0.12,0.16,0.12,0.13,0.00,0.00,0.09
8,,Health care,194.00,75.00,119.00,96.00,23.00,58.00,109.00,60.00,31.00,39.00,76.00,41.00,71.00,67.00,54.00,104.00,16.00,2.00,2.00,24.00
8,,,0.21,0.18,0.23,0.24,0.19,0.16,0.21,0.22,0.16,0.17,0.24,0.24,0.18,0.21,0.24,0.22,0.17,0.18,0.17,0.16
8,,Other Issue,20.00,11.00,9.00,7.00,5.00,5.00,11.00,3.00,6.00,5.00,6.00,3.00,7.00,8.00,5.00,10.00,1.00,2.00,0.00,3.00
8,,,0.02,0.03,0.02,0.02,0.04,0.01,0.02,0.01,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.18,0.00,0.02
8,,Don't know,18.00,10.00,8.00,4.00,3.00,7.00,11.00,2.00,0.00,4.00,6.00,5.00,10.00,6.00,2.00,6.00,4.00,0.00,0.00,3.00
8,,,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.01,0.00,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.04,0.00,0.00,0.02
9,"The Georgia Legislature passed a law in 2017 that allows anyone with a concealed-weapon permit to carry firearms on all public college and university campuses, with some exceptions. Do you approve of this law?",Approve,418.00,229.00,189.00,75.00,54.00,258.00,302.00,63.00,88.00,112.00,135.00,69.00,136.00,178.00,102.00,223.00,42.00,5.00,3.00,70.00
9,,,0.45,0.54,0.37,0.19,0.45,0.71,0.57,0.23,0.45,0.50,0.43,0.40,0.34,0.57,0.46,0.47,0.45,0.46,0.25,0.45
9,,Dissaprove,501.00,189.00,312.00,317.00,64.00,94.00,209.00,203.00,106.00,109.00,174.00,95.00,259.00,129.00,112.00,246.00,49.00,6.00,9.00,81.00
9,,,0.53,0.44,0.61,0.80,0.53,0.26,0.40,0.76,0.55,0.49,0.55,0.55,0.64,0.41,0.51,0.52,0.53,0.55,0.75,0.52
9,,Don't know,21.00,10.00,12.00,5.00,3.00,11.00,15.00,3.00,0.00,3.00,5.00,10.00,8.00,7.00,7.00,9.00,2.00,0.00,0.00,4.00
9,,,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.00,0.01,0.02,0.06,0.02,0.02,0.03,0.02,0.02,0.00,0.00,0.03
10,Do you think the state's medical marijuana law should be expanded to allow the harvesting and distribution of medical marijuana with strict controls within the state?,Expand,720.00,333.00,387.00,343.00,91.00,235.00,384.00,221.00,176.00,189.00,223.00,110.00,342.00,221.00,157.00,344.00,73.00,9.00,10.00,138.00
10,,,0.77,0.78,0.75,0.87,0.75,0.65,0.73,0.82,0.91,0.84,0.71,0.63,0.85,0.70,0.71,0.72,0.78,0.90,0.83,0.90
10,,Should not be Expanded,189.00,82.00,107.00,45.00,23.00,115.00,125.00,41.00,12.00,33.00,81.00,56.00,51.00,80.00,56.00,120.00,20.00,1.00,2.00,9.00
10,,,0.20,0.19,0.21,0.11,0.19,0.32,0.24,0.15,0.06,0.15,0.26,0.32,0.13,0.26,0.25,0.25,0.21,0.10,0.17,0.06
10,,Don't know,31.00,12.00,19.00,8.00,8.00,13.00,17.00,7.00,6.00,3.00,11.00,8.00,10.00,13.00,9.00,14.00,1.00,0.00,0.00,7.00
10,,,0.03,0.03,0.04,0.02,0.07,0.04,0.03,0.03,0.03,0.01,0.04,0.05,0.03,0.04,0.04,0.03,0.01,0.00,0.00,0.05
11,Should the General Assembly in Georgia legalize the use of marijuana by adults for any purpose?,Yes,474.00,238.00,236.00,259.00,66.00,113.00,213.00,176.00,152.00,142.00,130.00,42.00,251.00,129.00,95.00,198.00,50.00,7.00,5.00,108.00
11,,,0.50,0.56,0.46,0.65,0.54,0.31,0.41,0.65,0.78,0.63,0.41,0.24,0.62,0.41,0.43,0.41,0.54,0.70,0.42,0.70
11,,No,436.00,182.00,255.00,126.00,54.00,239.00,293.00,89.00,42.00,81.00,169.00,124.00,142.00,174.00,119.00,266.00,41.00,3.00,7.00,43.00
11,,,0.46,0.43,0.50,0.32,0.44,0.66,0.56,0.33,0.22,0.36,0.54,0.71,0.35,0.55,0.54,0.56,0.44,0.30,0.58,0.28
11,,Don't know,30.00,8.00,22.00,12.00,2.00,10.00,20.00,4.00,0.00,2.00,16.00,8.00,10.00,12.00,7.00,14.00,2.00,0.00,0.00,4.00
11,,,0.03,0.02,0.04,0.03,0.02,0.03,0.04,0.02,0.00,0.01,0.05,0.05,0.03,0.04,0.03,0.03,0.02,0.00,0.00,0.03
12,"Do you approve or disapprove of a proposal to use dedicated state funds to expand mass transit in Georgia, starting with the metro-Atlanta area?",Approve,681.00,311.00,370.00,346.00,81.00,226.00,353.00,220.00,149.00,174.00,237.00,102.00,323.00,224.00,132.00,333.00,72.00,10.00,9.00,126.00
12,,,0.72,0.73,0.72,0.87,0.66,0.62,0.67,0.82,0.77,0.77,0.75,0.59,0.80,0.71,0.60,0.70,0.77,0.91,0.75,0.81
12,,Dissparove,205.00,98.00,108.00,36.00,31.00,116.00,138.00,43.00,40.00,39.00,64.00,55.00,61.00,72.00,73.00,125.00,15.00,1.00,3.00,18.00
12,,,0.22,0.23,0.21,0.09,0.25,0.32,0.26,0.16,0.21,0.17,0.20,0.32,0.15,0.23,0.33,0.26,0.16,0.09,0.25,0.12
12,,Don't know,54.00,19.00,34.00,14.00,10.00,21.00,34.00,6.00,5.00,12.00,14.00,17.00,19.00,18.00,16.00,19.00,6.00,0.00,0.00,11.00
12,,,0.06,0.04,0.07,0.04,0.08,0.06,0.07,0.02,0.03,0.05,0.04,0.10,0.05,0.06,0.07,0.04,0.07,0.00,0.00,0.07
13,"Should the Georgia Legislature agree to offer Amazon more than one billion dollars in incentives to locate its second headquarters to Georgia in order to create an estimated 50,000 jobs in the state?",Yes,613.00,277.00,336.00,268.00,73.00,236.00,327.00,194.00,157.00,148.00,194.00,96.00,265.00,198.00,150.00,289.00,63.00,8.00,10.00,106.00
13,,,0.65,0.65,0.66,0.68,0.60,0.65,0.62,0.72,0.81,0.66,0.62,0.55,0.66,0.63,0.68,0.61,0.68,0.73,0.83,0.68
13,,No,249.00,123.00,126.00,108.00,32.00,96.00,147.00,66.00,28.00,63.00,93.00,54.00,103.00,92.00,52.00,151.00,21.00,2.00,2.00,36.00
13,,,0.27,0.29,0.25,0.27,0.26,0.26,0.28,0.24,0.14,0.28,0.30,0.31,0.26,0.29,0.23,0.32,0.23,0.18,0.17,0.23
13,,Don't know,78.00,28.00,51.00,21.00,16.00,31.00,52.00,10.00,9.00,13.00,28.00,24.00,35.00,23.00,20.00,38.00,9.00,1.00,0.00,13.00
13,,,0.08,0.07,0.10,0.05,0.13,0.09,0.10,0.04,0.05,0.06,0.09,0.14,0.09,0.07,0.09,0.08,0.10,0.09,0.00,0.08
14,Should city and county governments in Georgia be granted authority to relocate Confederate monuments?,Yes,456.00,212.00,245.00,262.00,55.00,115.00,222.00,157.00,108.00,108.00,155.00,72.00,247.00,127.00,82.00,223.00,42.00,7.00,9.00,81.00
14,,,0.49,0.50,0.48,0.66,0.45,0.32,0.42,0.58,0.56,0.48,0.49,0.42,0.61,0.40,0.37,0.47,0.46,0.64,0.75,0.52
14,,No,441.00,199.00,242.00,118.00,60.00,236.00,279.00,103.00,81.00,105.00,146.00,93.00,132.00,174.00,134.00,235.00,46.00,4.00,2.00,68.00
14,,,0.47,0.47,0.47,0.30,0.49,0.65,0.53,0.38,0.42,0.47,0.46,0.54,0.33,0.55,0.60,0.49,0.50,0.36,0.17,0.44
14,,Don't know,42.00,17.00,26.00,17.00,7.00,11.00,25.00,9.00,5.00,11.00,14.00,8.00,24.00,13.00,6.00,19.00,4.00,0.00,1.00,6.00
14,,,0.05,0.04,0.05,0.04,0.06,0.03,0.05,0.03,0.03,0.05,0.04,0.05,0.06,0.04,0.03,0.04,0.04,0.00,0.08,0.04
15,"Should Georgia expand eligibility for Medicaid, which provides health care to the poor?",Yes,682.00,305.00,377.00,365.00,96.00,186.00,311.00,251.00,162.00,175.00,223.00,106.00,327.00,201.00,155.00,317.00,69.00,7.00,12.00,123.00
15,,,0.73,0.71,0.74,0.92,0.79,0.51,0.59,0.93,0.83,0.78,0.71,0.61,0.81,0.64,0.70,0.66,0.73,0.70,1.00,0.79
15,,No,205.00,104.00,101.00,18.00,18.00,152.00,177.00,10.00,30.00,40.00,73.00,53.00,58.00,95.00,52.00,123.00,23.00,3.00,0.00,28.00
15,,,0.22,0.24,0.20,0.05,0.15,0.42,0.34,0.04,0.15,0.18,0.23,0.31,0.14,0.30,0.23,0.26,0.25,0.30,0.00,0.18
15,,Don't know,52.00,18.00,34.00,13.00,8.00,25.00,38.00,8.00,3.00,10.00,19.00,15.00,19.00,19.00,15.00,38.00,2.00,0.00,0.00,4.00
15,,,0.06,0.04,0.07,0.03,0.07,0.07,0.07,0.03,0.02,0.04,0.06,0.09,0.05,0.06,0.07,0.08,0.02,0.00,0.00,0.03
16,"Do you approve or disapprove of a proposal to tax phone lines, TV subscriptions and internet streaming services like Netflix to raise money for building internet lines in rural areas of Georgia?",Yes,303.00,147.00,156.00,157.00,34.00,99.00,161.00,98.00,80.00,73.00,97.00,46.00,145.00,88.00,68.00,160.00,29.00,4.00,3.00,57.00
16,,,0.32,0.34,0.31,0.40,0.28,0.27,0.31,0.36,0.41,0.33,0.31,0.26,0.36,0.28,0.31,0.34,0.31,0.36,0.25,0.37
16,,No,587.00,263.00,324.00,213.00,86.00,248.00,336.00,163.00,110.00,145.00,203.00,107.00,235.00,213.00,140.00,296.00,59.00,4.00,9.00,90.00
16,,,0.63,0.62,0.63,0.54,0.71,0.69,0.64,0.61,0.57,0.65,0.64,0.62,0.59,0.68,0.63,0.62,0.63,0.36,0.75,0.58
16,,Don't know,49.00,17.00,32.00,26.00,2.00,15.00,29.00,8.00,4.00,6.00,16.00,21.00,22.00,13.00,14.00,22.00,5.00,3.00,0.00,8.00
16,,,0.05,0.04,0.06,0.07,0.02,0.04,0.06,0.03,0.02,0.03,0.05,0.12,0.06,0.04,0.06,0.05,0.05,0.27,0.00,0.05
17,"The Georgia Public Service Commission recently gave Georgia Power permission to continue construction of two nuclear reactors at Plant Vogtle, despite delays and higher than projected costs. Georgia Power customers are currently paying a surcharge to help cover construction costs. Do you agree or disagree with Public Service Commission's decision?",Agree,293.00,167.00,126.00,91.00,29.00,163.00,212.00,51.00,57.00,58.00,106.00,59.00,115.00,109.00,67.00,163.00,30.00,2.00,3.00,38.00
17,,,0.31,0.39,0.25,0.23,0.24,0.45,0.40,0.19,0.29,0.26,0.34,0.34,0.29,0.35,0.30,0.34,0.32,0.18,0.25,0.25
17,,Disagree,573.00,232.00,341.00,282.00,78.00,177.00,264.00,203.00,126.00,144.00,186.00,101.00,257.00,181.00,135.00,280.00,57.00,8.00,9.00,102.00
17,,,0.61,0.54,0.67,0.71,0.64,0.49,0.50,0.76,0.65,0.64,0.59,0.58,0.64,0.58,0.61,0.59,0.61,0.73,0.75,0.66
17,,Don't know,74.00,28.00,46.00,24.00,15.00,22.00,50.00,15.00,11.00,22.00,23.00,14.00,31.00,24.00,19.00,35.00,7.00,1.00,0.00,15.00
17,,,0.08,0.07,0.09,0.06,0.12,0.06,0.10,0.06,0.06,0.10,0.07,0.08,0.08,0.08,0.09,0.07,0.07,0.09,0.00,0.10
18,Do you approve or disapprove of the federal tax legislation just passed by Congress?,Approve,336.00,184.00,153.00,30.00,35.00,252.00,266.00,35.00,45.00,72.00,127.00,78.00,113.00,139.00,83.00,197.00,36.00,4.00,3.00,34.00
18,,,0.36,0.43,0.30,0.08,0.29,0.70,0.51,0.13,0.23,0.32,0.40,0.45,0.28,0.44,0.37,0.41,0.38,0.36,0.25,0.22
18,,Disapprove,431.00,187.00,244.00,299.00,57.00,53.00,166.00,186.00,106.00,98.00,141.00,70.00,227.00,112.00,91.00,197.00,45.00,7.00,9.00,88.00
18,,,0.46,0.44,0.48,0.76,0.47,0.15,0.32,0.69,0.55,0.44,0.45,0.40,0.57,0.36,0.41,0.41,0.48,0.64,0.75,0.57
18,,Don't know,172.00,57.00,116.00,67.00,29.00,57.00,93.00,49.00,42.00,54.00,47.00,26.00,62.00,63.00,48.00,84.00,13.00,0.00,0.00,32.00
18,,,0.18,0.13,0.23,0.17,0.24,0.16,0.18,0.18,0.22,0.24,0.15,0.15,0.15,0.20,0.22,0.18,0.14,0.00,0.00,0.21
19,"Under the new tax plan do you expect your taxes to go up, go down, or stay the same in 2018?",Taxes will Increase,293.00,130.00,163.00,173.00,45.00,58.00,102.00,138.00,67.00,81.00,94.00,43.00,147.00,81.00,65.00,138.00,22.00,1.00,6.00,39.00
19,,,0.31,0.30,0.32,0.44,0.37,0.16,0.19,0.51,0.35,0.36,0.30,0.25,0.37,0.26,0.29,0.29,0.24,0.09,0.50,0.25
19,,Taxes will decrease,273.00,156.00,117.00,78.00,21.00,156.00,192.00,46.00,50.00,63.00,109.00,39.00,113.00,103.00,57.00,144.00,24.00,8.00,2.00,43.00
19,,,0.29,0.36,0.23,0.20,0.17,0.43,0.37,0.17,0.26,0.28,0.35,0.23,0.28,0.33,0.26,0.30,0.26,0.73,0.17,0.28
19,,Taxes will stay the same,302.00,116.00,186.00,121.00,43.00,122.00,179.00,74.00,62.00,62.00,92.00,73.00,116.00,103.00,81.00,159.00,41.00,2.00,4.00,54.00
19,,,0.32,0.27,0.36,0.31,0.35,0.34,0.34,0.28,0.32,0.28,0.29,0.42,0.29,0.33,0.37,0.33,0.44,0.18,0.33,0.35
19,,Don't know,72.00,26.00,46.00,25.00,13.00,26.00,53.00,11.00,14.00,17.00,20.00,18.00,27.00,27.00,18.00,37.00,6.00,0.00,0.00,18.00
19,,,0.08,0.06,0.09,0.06,0.11,0.07,0.10,0.04,0.07,0.08,0.06,0.10,0.07,0.09,0.08,0.08,0.07,0.00,0.00,0.12
20,"In your opinion, will the tax plan have a positive effect on the nation's economy, a negative effect, or won't it make much difference one way or the other?",Positive,321.00,177.00,144.00,20.00,23.00,259.00,269.00,19.00,38.00,55.00,131.00,84.00,106.00,133.00,81.00,198.00,35.00,5.00,1.00,30.00
20,,,0.34,0.41,0.28,0.05,0.19,0.72,0.51,0.07,0.20,0.24,0.42,0.48,0.26,0.42,0.37,0.42,0.37,0.50,0.08,0.19
20,,Negative,356.00,128.00,228.00,267.00,40.00,30.00,113.00,179.00,87.00,101.00,112.00,44.00,199.00,86.00,71.00,157.00,27.00,2.00,8.00,72.00
20,,,0.38,0.30,0.45,0.67,0.33,0.08,0.22,0.67,0.45,0.45,0.36,0.25,0.49,0.27,0.32,0.33,0.29,0.20,0.67,0.47
20,,No difference,189.00,93.00,96.00,86.00,37.00,55.00,98.00,54.00,54.00,40.00,58.00,35.00,71.00,68.00,51.00,86.00,24.00,1.00,3.00,37.00
20,,,0.20,0.22,0.19,0.22,0.30,0.15,0.19,0.20,0.28,0.18,0.18,0.20,0.18,0.22,0.23,0.18,0.26,0.10,0.25,0.24
