qnum,Question,Responses,Male,Female,Democrat,Republican,Independent,White,Black,Non-white,18-39,40-64,65+,White Protestant Evangelical,North,Atlanta exurbs,Atlanta metro,Southeast,Southwest,,
7,"What if the bill allowed businesses here in Georgia to refuse service or refuse to offer a job to gays or lesbians based on the business owner's religious beliefs?  Would you still approve of the religious liberty bill, or would you oppose it?",(Still) approve,108,88,32,84,51,139,37,53,42,114,38,45,39,53,37,32,36,,
7,,,0.47,0.36,0.24,0.57,0.44,0.49,0.27,0.28,0.26,0.50,0.44,0.58,0.51,0.39,0.39,0.38,0.42,,
7,,Would oppose,113,138,96,52,59,126,94,124,116,93,42,29,36,76,51,42,47,,
7,,,0.49,0.56,0.73,0.35,0.51,0.44,0.68,0.67,0.72,0.41,0.49,0.37,0.47,0.57,0.54,0.50,0.54,,
7,,No answer,9,18,4,12,6,18,7,8,2,19,6,4,1,6,7,10,3,,
7,,,0.04,0.07,0.03,0.08,0.05,0.06,0.05,0.04,0.01,0.08,0.07,0.05,0.02,0.04,0.07,0.12,0.04,,
8,Do you favor or oppose allowing casino gambling in Georgia?,Favor,264,221,175,113,130,273,167,207,180,228,76,51,73,133,121,78,80,,
8,,,0.69,0.55,0.67,0.57,0.61,0.58,0.67,0.67,0.69,0.61,0.50,0.46,0.62,0.61,0.65,0.55,0.63,,
8,,Oppose,110,160,79,78,74,171,76,94,74,128,67,57,42,73,56,53,45,,
8,,,0.28,0.40,0.30,0.39,0.35,0.37,0.31,0.30,0.28,0.34,0.44,0.51,0.36,0.34,0.30,0.38,0.35,,
8,,No answer,11,21,9,7,10,23,5,9,7,15,10,3,2,10,8,9,3,,
8,,,0.03,0.05,0.03,0.03,0.05,0.05,0.02,0.03,0.03,0.04,0.07,0.03,0.02,0.05,0.04,0.06,0.02,,
9,"Lawmakers are considering merit-based pay for public school teachers, that is legislation that would tie public school teachers’ pay and raises to student performance. Critics of the bill say this would be unfair, because teachers can’t control who their students are. Supporters of the bill say that it would improve the quality of teaching by rewarding effective teaching. Do you favor or oppose merit-based pay for public school teachers?",Favor,163,144,97,83,84,174,101,126,95,140,70,44,42,84,69,64,47,,
9,,,0.42,0.36,0.37,0.42,0.39,0.37,0.41,0.41,0.37,0.38,0.46,0.40,0.35,0.39,0.37,0.46,0.37,,
9,,Oppose,202,241,156,107,119,268,132,171,150,215,77,64,72,123,107,71,70,,
9,,,0.52,0.60,0.60,0.54,0.56,0.57,0.54,0.55,0.57,0.58,0.50,0.58,0.61,0.57,0.58,0.51,0.54,,
9,,No answer,20,18,9,7,11,25,14,14,16,16,5,3,4,10,8,5,11,,
9,,,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.06,0.04,0.04,0.03,0.03,0.05,0.05,0.03,0.09,,
10,"Do you think the state's medical marijuana law should be expanded to allow the harvesting and distribution of medical marijuana with strict controls within the state, or not?",Should be expanded,280,288,185,125,168,332,181,231,201,274,92,67,83,162,151,85,88,,
10,,,0.73,0.72,0.70,0.63,0.78,0.71,0.73,0.74,0.77,0.74,0.60,0.60,0.70,0.75,0.82,0.61,0.68,,
10,,Should not be expanded,95,105,70,65,44,122,61,73,54,90,55,39,34,50,27,52,37,,
10,,,0.25,0.26,0.27,0.33,0.21,0.26,0.25,0.24,0.21,0.24,0.36,0.36,0.29,0.23,0.14,0.37,0.29,,
10,,No answer,10,9,7,8,2,13,5,6,7,7,6,5,1,5,7,4,3,,
10,,,0.03,0.02,0.03,0.04,0.01,0.03,0.02,0.02,0.03,0.02,0.04,0.04,0.01,0.02,0.04,0.03,0.02,,
11,"In the last year, do you think race relations in the United States have improved, grown worse or stayed about the same?",Improved,40,31,28,12,19,35,27,35,28,28,15,8,7,15,21,15,14,,
11,,,0.10,0.08,0.11,0.06,0.09,0.07,0.11,0.11,0.11,0.08,0.10,0.07,0.06,0.07,0.11,0.10,0.11,,
11,,Grown worse,240,246,136,146,141,306,135,171,155,233,97,81,69,142,111,82,83,,
11,,,0.62,0.61,0.52,0.74,0.66,0.66,0.55,0.55,0.59,0.63,0.63,0.73,0.58,0.65,0.60,0.59,0.65,,
11,,Stayed about the same,97,124,96,37,54,118,85,102,73,108,39,20,39,59,50,42,31,,
11,,,0.25,0.31,0.37,0.19,0.25,0.25,0.34,0.33,0.28,0.29,0.26,0.18,0.33,0.27,0.27,0.30,0.25,,
11,,No answer,8,1,2,3,*,7,-,2,5,2,2,3,3,1,3,1,-,,
11,,,0.02,* ,0.01,0.01,* ,0.02,- ,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.01,- ,,
12,"Would you like the next president to be someone who has experience in how the political system works, or someone from outside the existing political establishment?",Someone with experience,174,238,217,60,96,189,180,220,151,176,84,39,39,106,119,82,66,,
12,,,0.45,0.59,0.83,0.30,0.45,0.40,0.73,0.71,0.58,0.47,0.55,0.35,0.33,0.49,0.65,0.58,0.51,,
12,,Someone from outside the existing establishment,183,136,34,120,104,242,53,70,87,171,61,65,72,94,56,48,48,,
12,,,0.48,0.34,0.13,0.61,0.49,0.52,0.22,0.23,0.33,0.46,0.40,0.59,0.61,0.44,0.30,0.34,0.38,,
12,,No answer,28,29,11,18,14,36,14,20,24,24,8,7,6,16,10,11,14,,
12,,,0.07,0.07,0.04,0.09,0.06,0.08,0.06,0.06,0.09,0.07,0.05,0.06,0.05,0.08,0.05,0.08,0.11,,
13,"What is the single most important issue in your choice for president: the economy, health care, immigration issues, tax policy or the threat of terrorism?",Economy,127,128,88,53,77,128,90,123,97,120,37,33,38,65,75,32,45,,
13,,,0.33,0.32,0.34,0.27,0.36,0.27,0.37,0.40,0.37,0.33,0.24,0.30,0.33,0.30,0.41,0.23,0.35,,
13,,Health care,45,78,59,21,26,61,56,61,42,52,28,11,14,37,27,25,20,,
13,,,0.12,0.19,0.22,0.11,0.12,0.13,0.23,0.20,0.16,0.14,0.19,0.10,0.12,0.17,0.15,0.18,0.15,,
13,,Immigration issues,48,31,27,19,21,56,14,22,28,31,18,11,20,20,16,15,7,,
13,,,0.12,0.08,0.10,0.10,0.10,0.12,0.06,0.07,0.11,0.08,0.12,0.10,0.17,0.09,0.08,0.11,0.06,,
13,,Tax policy,32,25,19,11,21,36,18,20,20,26,10,6,15,14,16,5,6,,
13,,,0.08,0.06,0.07,0.06,0.10,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.13,0.07,0.09,0.04,0.05,,
13,,Threat of terrorism,68,87,40,60,36,104,38,47,37,86,31,32,16,48,28,34,29,,
13,,,0.18,0.22,0.15,0.30,0.17,0.22,0.15,0.15,0.14,0.23,0.21,0.28,0.13,0.22,0.15,0.24,0.23,,
13,,Something else ,8,8,2,6,4,13,2,2,1,7,7,2,2,6,3,3,2,,
13,,,0.02,0.02,0.01,0.03,0.02,0.03,0.01,0.01,* ,0.02,0.05,0.01,0.02,0.03,0.01,0.02,0.01,,
13,,Two or more equally,47,41,20,23,26,60,22,28,33,38,18,14,12,21,15,24,16,,
13,,,0.12,0.10,0.08,0.12,0.12,0.13,0.09,0.09,0.13,0.10,0.12,0.13,0.11,0.10,0.08,0.17,0.13,,
13,,None,6,2,6,-,1,3,4,4,-,7,1,-,-,2,4,-,2,,
13,,,0.02,* ,0.02,- ,* ,0.01,0.02,0.01,- ,0.02,0.01,- ,- ,0.01,0.02,- ,0.01,,
13,,No answer,6,3,2,4,2,5,3,3,4,3,2,1,1,3,1,2,2,,
13,,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,* ,0.01,0.01,0.02,0.01,,
14,Do you have a favorable or unfavorable impression of the Republican Party?,Favorable,137,144,28,157,63,218,37,62,76,150,55,62,56,89,45,44,47,,
14,,,0.36,0.36,0.11,0.79,0.29,0.47,0.15,0.20,0.29,0.40,0.36,0.56,0.48,0.41,0.25,0.31,0.37,,
14,,Unfavorable,217,226,217,36,127,215,191,221,164,193,87,45,46,111,126,84,77,,
14,,,0.56,0.56,0.83,0.18,0.59,0.46,0.77,0.71,0.63,0.52,0.57,0.40,0.39,0.51,0.68,0.60,0.60,,
14,,No answer,31,32,17,5,25,34,19,28,22,28,11,4,16,17,13,12,4,,
14,,,0.08,0.08,0.07,0.03,0.12,0.07,0.08,0.09,0.09,0.08,0.07,0.04,0.13,0.08,0.07,0.09,0.04,,
15,Do you have a favorable or unfavorable impression of the Democratic Party?,Favorable,150,194,223,16,75,131,180,209,140,137,66,18,33,85,101,69,57,,
15,,,0.39,0.48,0.85,0.08,0.35,0.28,0.73,0.67,0.54,0.37,0.43,0.16,0.28,0.39,0.55,0.49,0.45,,
15,,Unfavorable,211,176,30,176,111,305,54,80,105,208,73,90,73,124,71,53,66,,
15,,,0.55,0.44,0.11,0.89,0.52,0.65,0.22,0.26,0.40,0.56,0.48,0.81,0.62,0.57,0.39,0.38,0.52,,
15,,No answer,23,32,9,6,28,31,13,22,16,26,14,3,12,8,12,18,4,,
15,,,0.06,0.08,0.03,0.03,0.13,0.07,0.05,0.07,0.06,0.07,0.09,0.03,0.10,0.04,0.07,0.13,0.03,,
16,Do you have a favorable or unfavorable impression of Hillary Clinton?,Favorable,136,205,222,14,67,101,198,233,134,138,68,16,25,81,112,63,60,,
16,,,0.35,0.51,0.84,0.07,0.31,0.22,0.80,0.75,0.51,0.37,0.44,0.14,0.21,0.37,0.61,0.45,0.47,,
16,,Unfavorable,234,181,28,182,141,355,35,57,113,219,82,92,92,123,64,69,67,,
16,,,0.61,0.45,0.11,0.92,0.66,0.76,0.14,0.18,0.43,0.59,0.53,0.82,0.78,0.57,0.35,0.49,0.53,,
16,,No answer,15,16,13,2,6,11,15,21,15,13,4,4,1,13,9,8,1,,
16,,,0.04,0.04,0.05,0.01,0.03,0.02,0.06,0.07,0.06,0.03,0.03,0.04,0.01,0.06,0.05,0.06,0.01,,
17,Do you have a favorable or unfavorable impression of Bernie Sanders?,Favorable,143,159,151,27,90,143,130,157,130,124,47,19,35,86,80,50,50,,
17,,,0.37,0.40,0.58,0.14,0.42,0.31,0.53,0.51,0.50,0.34,0.31,0.17,0.30,0.40,0.43,0.36,0.39,,
17,,Unfavorable,213,174,76,154,99,276,76,104,99,200,87,77,74,108,75,64,64,,
17,,,0.55,0.43,0.29,0.78,0.46,0.59,0.31,0.33,0.38,0.54,0.57,0.70,0.63,0.50,0.41,0.46,0.50,,
17,,No answer,29,69,36,16,25,48,41,49,32,46,19,15,8,22,29,26,14,,
17,,,0.08,0.17,0.14,0.08,0.12,0.10,0.17,0.16,0.12,0.12,0.13,0.13,0.07,0.10,0.16,0.18,0.11,,
18,Do you have a favorable or unfavorable impression of Donald Trump?,Favorable,149,104,20,118,69,205,29,45,60,141,51,59,61,72,38,33,49,,
18,,,0.39,0.26,0.08,0.60,0.32,0.44,0.12,0.14,0.23,0.38,0.33,0.53,0.52,0.33,0.20,0.24,0.39,,
18,,Unfavorable,222,269,229,67,139,241,206,244,191,207,92,46,51,135,137,97,72,,
18,,,0.58,0.67,0.87,0.34,0.65,0.52,0.83,0.79,0.73,0.56,0.60,0.42,0.43,0.62,0.74,0.69,0.56,,
18,,No answer,13,30,13,12,6,21,12,22,10,22,10,6,6,10,10,10,6,,
18,,,0.03,0.07,0.05,0.06,0.03,0.05,0.05,0.07,0.04,0.06,0.07,0.06,0.05,0.05,0.05,0.07,0.05,,
19,Do you have a favorable or unfavorable impression of Ted Cruz?,Favorable,172,128,50,123,84,224,49,73,78,158,64,65,54,98,50,47,51,,
19,,,0.45,0.32,0.19,0.62,0.39,0.48,0.20,0.24,0.30,0.43,0.42,0.59,0.46,0.45,0.27,0.34,0.40,,
19,,Unfavorable,175,186,168,52,101,184,142,171,133,166,62,31,50,77,105,68,61,,
19,,,0.45,0.46,0.64,0.26,0.47,0.39,0.57,0.55,0.51,0.45,0.40,0.28,0.43,0.36,0.57,0.48,0.48,,
19,,No answer,38,88,45,23,29,59,56,66,50,47,27,15,13,42,30,25,16,,
19,,,0.10,0.22,0.17,0.11,0.14,0.13,0.23,0.21,0.19,0.13,0.18,0.13,0.11,0.19,0.16,0.18,0.12,,
20,Do you have a favorable or unfavorable impression of Marco Rubio ?,Favorable,144,145,59,115,79,208,57,78,86,148,54,62,39,104,55,41,50,,
20,,,0.37,0.36,0.22,0.58,0.37,0.45,0.23,0.25,0.33,0.40,0.35,0.56,0.33,0.48,0.30,0.29,0.39,,
20,,Unfavorable,197,165,143,62,107,198,128,157,124,167,70,40,62,80,97,68,55,,
20,,,0.51,0.41,0.55,0.31,0.50,0.42,0.52,0.51,0.47,0.45,0.46,0.36,0.52,0.37,0.52,0.49,0.43,,
20,,No answer,44,93,61,21,27,61,62,75,52,55,29,9,17,33,33,31,23,,
20,,,0.11,0.23,0.23,0.10,0.13,0.13,0.25,0.24,0.20,0.15,0.19,0.08,0.15,0.15,0.18,0.22,0.18,,
21,Do you have a favorable or unfavorable impression of Ben Carson ?,Favorable,184,140,72,115,80,229,67,93,110,159,55,66,62,107,42,53,60,,
21,,,0.48,0.35,0.27,0.58,0.37,0.49,0.27,0.30,0.42,0.43,0.36,0.59,0.53,0.49,0.23,0.38,0.47,,
21,,Unfavorable,160,209,159,65,109,180,152,181,119,171,78,35,36,88,123,63,57,,
21,,,0.42,0.52,0.61,0.33,0.51,0.39,0.62,0.58,0.45,0.46,0.51,0.32,0.31,0.41,0.67,0.45,0.45,,
21,,No answer,41,53,32,18,25,57,28,36,33,41,20,10,19,22,19,24,10,,
21,,,0.11,0.13,0.12,0.09,0.12,0.12,0.11,0.12,0.13,0.11,0.13,0.09,0.16,0.10,0.10,0.17,0.08,,
22,Do you have a favorable or unfavorable impression of Jeb Bush?,Favorable,93,77,49,53,45,112,43,56,53,75,41,31,18,50,43,33,25,,
22,,,0.24,0.19,0.19,0.27,0.21,0.24,0.17,0.18,0.20,0.20,0.27,0.27,0.16,0.23,0.23,0.24,0.19,,
22,,Unfavorable,269,291,195,134,153,324,182,228,189,268,102,76,96,155,123,93,94,,
22,,,0.70,0.72,0.74,0.68,0.72,0.70,0.74,0.73,0.72,0.72,0.67,0.68,0.81,0.71,0.67,0.66,0.73,,
22,,No answer,23,34,18,10,15,31,22,26,19,27,10,5,4,12,18,14,9,,
22,,,0.06,0.08,0.07,0.05,0.07,0.07,0.09,0.08,0.07,0.07,0.07,0.05,0.03,0.06,0.10,0.10,0.07,,
23,Do you have a favorable or unfavorable impression of Chris Christie?,Favorable,103,98,43,77,58,144,39,54,41,109,51,39,27,65,46,29,35,,
23,,,0.27,0.24,0.16,0.39,0.27,0.31,0.16,0.17,0.16,0.29,0.33,0.35,0.23,0.30,0.25,0.21,0.27,,
23,,Unfavorable,242,223,172,101,131,269,151,190,174,212,80,62,82,121,102,86,76,,
23,,,0.63,0.56,0.66,0.51,0.61,0.58,0.61,0.61,0.66,0.57,0.52,0.55,0.69,0.56,0.55,0.61,0.59,,
23,,No answer,40,80,47,19,25,53,57,66,47,49,23,11,9,32,36,26,17,,
23,,,0.10,0.20,0.18,0.10,0.12,0.11,0.23,0.21,0.18,0.13,0.15,0.10,0.08,0.15,0.20,0.18,0.13,,
24,Do you approve or disapprove of the way Barack Obama is handling his job as president?,Approve,180,207,241,14,92,127,217,252,158,158,70,16,35,95,122,75,59,,
24,,,0.47,0.52,0.92,0.07,0.43,0.27,0.88,0.81,0.61,0.43,0.45,0.15,0.30,0.44,0.66,0.54,0.46,,
24,,Disapprove,192,179,21,177,115,320,28,49,89,200,81,90,77,113,56,61,65,,
24,,,0.50,0.45,0.08,0.89,0.54,0.69,0.11,0.16,0.34,0.54,0.53,0.81,0.66,0.52,0.30,0.44,0.51,,
24,,No answer,13,16,1,7,7,19,3,9,15,12,2,4,6,9,6,4,4,,
24,,,0.03,0.04,* ,0.04,0.03,0.04,0.01,0.03,0.06,0.03,0.01,0.04,0.05,0.04,0.03,0.03,0.03,,
25,Do you approve or disapprove of the way Obama is handling the economy?,Approve,183,197,224,26,90,135,203,238,142,170,68,15,39,93,122,68,58,,
25,,,0.48,0.49,0.85,0.13,0.42,0.29,0.82,0.77,0.54,0.46,0.45,0.13,0.33,0.43,0.66,0.49,0.45,,
25,,Disapprove,193,196,36,169,120,322,42,65,113,194,81,95,78,120,55,70,67,,
25,,,0.50,0.49,0.14,0.85,0.56,0.69,0.17,0.21,0.43,0.52,0.53,0.85,0.66,0.55,0.30,0.50,0.52,,
25,,No answer,8,9,3,3,4,10,2,8,7,7,4,2,1,4,7,2,3,,
25,,,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.04,0.02,0.02,,
26,Do you approve or disapprove of the way Obama is handling the threat of terrorism?,Approve,159,177,211,14,73,118,180,212,136,138,61,18,37,74,96,72,57,,
26,,,0.41,0.44,0.80,0.07,0.34,0.25,0.73,0.68,0.52,0.37,0.40,0.16,0.31,0.34,0.52,0.51,0.45,,
26,,Disapprove,218,211,51,180,132,334,64,92,120,222,86,93,79,138,78,64,70,,
26,,,0.57,0.52,0.19,0.91,0.61,0.72,0.26,0.30,0.46,0.60,0.56,0.83,0.67,0.64,0.42,0.46,0.55,,
26,,No answer,7,15,1,4,9,15,3,7,6,10,6,1,2,5,10,4,1,,
26,,,0.02,0.04,* ,0.02,0.04,0.03,0.01,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0.06,0.03,* ,,
27,"Do you approve or disapprove of the way Obama is handling the extremist group known as the Islamic State, or ISIS?",Approve,123,139,161,10,58,95,141,163,99,114,49,13,24,56,85,55,42,,
27,,,0.32,0.35,0.61,0.05,0.27,0.20,0.57,0.52,0.38,0.31,0.32,0.11,0.20,0.26,0.46,0.39,0.33,,
27,,Disapprove,246,233,86,181,143,355,86,119,145,238,95,95,92,148,76,81,84,,
27,,,0.64,0.58,0.33,0.92,0.67,0.76,0.35,0.38,0.56,0.64,0.62,0.85,0.78,0.68,0.41,0.57,0.66,,
27,,No answer,16,29,16,6,13,16,21,29,17,19,9,4,2,13,23,5,2,,
27,,,0.04,0.07,0.06,0.03,0.06,0.03,0.08,0.09,0.07,0.05,0.06,0.03,0.02,0.06,0.13,0.04,0.02,,
28,Do you think things in this country are generally going in the right direction or do you feel things have gotten pretty seriously off on the wrong track?,Right direction,133,134,170,12,60,103,135,162,106,111,50,14,27,70,83,52,35,,
28,,,0.35,0.33,0.65,0.06,0.28,0.22,0.55,0.52,0.40,0.30,0.33,0.12,0.23,0.32,0.45,0.37,0.27,,
28,,Wrong track,242,245,77,183,149,353,97,127,142,243,100,96,90,143,86,77,91,,
28,,,0.63,0.61,0.29,0.92,0.70,0.76,0.39,0.41,0.54,0.66,0.65,0.87,0.76,0.66,0.47,0.55,0.71,,
28,,No answer,10,23,15,3,5,11,15,22,14,16,3,1,1,5,15,11,2,,
28,,,0.03,0.06,0.06,0.01,0.02,0.02,0.06,0.07,0.05,0.04,0.02,0.01,0.01,0.02,0.08,0.08,0.02,,
