qnum,Question,Responses,Total,   Male,   Female,   Democrat,   Republican,   Independent,   White,   Non-white,   18-39,   40-64,   65+, White Protestant Evangelical,   <$50K,   $50K-<$100K,   $100K+,   Less than college,  College graduate,
10,"Have you personally been contacted by a representative of the Ossoff campaign in-person asking you for your support, or not?",Yes,405,186,220,162,66,142,304,88,70,253,77,37,43,76,229,66,339,
10,,,0.54,0.52,0.57,0.75,0.32,0.57,0.54,0.58,0.55,0.56,0.5,0.37,0.48,0.48,0.61,0.49,0.56,
10,,No,325,163,162,53,132,103,249,62,58,191,73,58,43,81,145,66,258,
10,,,0.44,0.46,0.42,0.24,0.64,0.41,0.44,0.4,0.45,0.42,0.48,0.58,0.48,0.51,0.38,0.49,0.42,
10,,Don't know/no answer,15,8,7,2,7,4,10,3,-,12,3,5,3,3,4,2,14,
10,,,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.02,- ,0.03,0.02,0.05,0.04,0.02,0.01,0.01,0.02,
11,"Have you personally been contacted by a representative of the Handel campaign in-person asking you for your support, or not?",Yes,183,106,77,23,74,69,157,23,24,104,54,34,17,35,101,30,153,
11,,,0.25,0.3,0.2,0.1,0.36,0.28,0.28,0.15,0.19,0.23,0.35,0.34,0.19,0.22,0.27,0.23,0.25,
11,,No,553,245,308,194,128,177,402,126,104,344,97,64,72,123,274,103,450,
11,,,0.74,0.69,0.79,0.9,0.62,0.71,0.72,0.83,0.81,0.76,0.63,0.63,0.81,0.77,0.72,0.77,0.74,
11,,Don't know/no answer,10,6,4,-,4,4,3,4,-,7,3,2,*,1,3,1,9,
11,,,0.01,0.02,0.01,- ,0.02,0.01,0.01,0.03,- ,0.02,0.02,0.02,* ,0.01,0.01,0.01,0.01,
12,Have in person phone calls or visits from campaign volunteers influenced your decision to vote for a candidate in the upcoming election?,Yes,120,48,72,53,23,35,82,38,29,69,22,13,15,29,67,24,97,
12,,,0.16,0.13,0.19,0.24,0.11,0.14,0.15,0.25,0.23,0.15,0.15,0.13,0.17,0.18,0.18,0.18,0.16,
12,,No,618,308,310,162,181,213,474,114,96,383,130,87,72,131,308,109,509,
12,,,0.83,0.86,0.8,0.75,0.88,0.85,0.84,0.75,0.75,0.84,0.84,0.87,0.8,0.82,0.81,0.82,0.83,
12,,Don't know/no answer,7,*,7,2,1,2,6,-,2,3,2,*,3,-,4,1,6,
12,,,0.01,* ,0.02,0.01,* ,0.01,0.01,- ,0.02,0.01,0.01,* ,0.03,- ,0.01,0.01,0.01,
13,How much did in person phone calls or visits from campaign volunteers influence your decision?,Great deal,20,12,8,10,4,5,13,8,8,7,5,1,2,4,15,5,15,
13,,,0.17,0.25,0.11,0.2,0.19,0.15,0.15,0.21,0.27,0.11,0.23,0.06,0.11,0.14,0.22,0.23,0.15,
13,,Good amount,49,14,35,22,9,14,34,15,7,37,6,3,7,14,23,7,42,
13,,,0.41,0.29,0.49,0.42,0.38,0.41,0.41,0.41,0.23,0.53,0.26,0.24,0.46,0.49,0.35,0.29,0.44,
13,,Less than that,51,22,29,20,10,16,36,15,14,25,11,9,6,11,29,11,40,
13,,,0.42,0.46,0.4,0.39,0.43,0.44,0.44,0.39,0.5,0.36,0.51,0.7,0.43,0.37,0.43,0.48,0.41,
13,,Don't know/no answer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
13,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
14,Have campaign ads influenced your decision to vote for a candidate in the upcoming election?,Yes,207,91,116,67,54,73,143,58,33,129,42,23,31,43,111,34,173,
14,,,0.28,0.26,0.3,0.31,0.26,0.29,0.26,0.38,0.26,0.28,0.27,0.23,0.34,0.27,0.29,0.25,0.28,
14,,No,535,264,272,149,151,175,417,94,94,323,111,77,59,117,265,100,435,
14,,,0.72,0.74,0.7,0.69,0.74,0.7,0.74,0.62,0.74,0.71,0.73,0.77,0.66,0.73,0.7,0.75,0.71,
14,,Don't know/no answer,3,2,1,-,-,2,2,-,-,3,-,-,-,-,2,-,3,
14,,,* ,0.01,* ,- ,- ,0.01,* ,- ,- ,0.01,- ,- ,- ,- ,0.01,- ,* ,
15,How much did campaign ads influence your decision?,Great deal,28,15,13,8,10,8,22,6,6,16,6,2,3,5,19,5,23,
15,,,0.13,0.16,0.11,0.12,0.18,0.12,0.15,0.1,0.19,0.12,0.14,0.1,0.11,0.12,0.17,0.14,0.13,
15,,Good amount,93,42,51,26,23,35,55,36,14,57,19,12,15,24,43,19,73,
15,,,0.45,0.46,0.44,0.39,0.42,0.48,0.39,0.61,0.42,0.44,0.46,0.5,0.49,0.56,0.39,0.57,0.42,
15,,Less than that,86,34,52,33,21,29,66,17,13,56,16,9,12,13,49,10,76,
15,,,0.42,0.37,0.45,0.49,0.39,0.4,0.46,0.29,0.39,0.43,0.39,0.39,0.4,0.31,0.44,0.29,0.44,
15,,Don't know/no answer,*,*,-,-,*,-,*,-,-,-,*,-,-,*,-,-,*,
15,,,* ,* ,- ,- ,0.01,- ,* ,- ,- ,- ,0.01,- ,- ,0.01,- ,- ,* ,
16,Have endorsements influenced your decision to vote for a candidate in the upcoming election?,Yes,120,47,72,39,37,32,85,32,21,70,28,12,15,19,68,23,97,
16,,,0.16,0.13,0.19,0.18,0.18,0.13,0.15,0.21,0.16,0.15,0.18,0.11,0.17,0.12,0.18,0.17,0.16,
16,,No,617,305,312,178,165,213,471,120,106,381,123,85,70,140,309,111,506,
16,,,0.83,0.86,0.8,0.82,0.81,0.85,0.84,0.79,0.83,0.84,0.8,0.85,0.78,0.88,0.82,0.83,0.83,
16,,Don't know/no answer,8,4,4,-,3,4,7,-,2,5,2,3,5,1,1,*,8,
16,,,0.01,0.01,0.01,- ,0.02,0.02,0.01,- ,0.01,0.01,0.01,0.03,0.05,* ,* ,* ,0.01,
17,How much did endorsements influence your decision?,Great deal,28,13,15,7,10,9,17,9,4,17,8,4,4,7,14,4,24,
17,,,0.23,0.28,0.21,0.17,0.27,0.27,0.21,0.28,0.18,0.24,0.27,0.35,0.26,0.38,0.21,0.18,0.25,
17,,Good amount,50,19,31,18,14,13,34,15,10,28,10,4,8,10,24,12,38,
17,,,0.42,0.4,0.43,0.47,0.38,0.41,0.4,0.46,0.51,0.4,0.38,0.36,0.5,0.52,0.36,0.53,0.39,
17,,Less than that,41,15,26,14,13,10,33,8,6,25,10,3,4,2,30,6,35,
17,,,0.34,0.32,0.36,0.36,0.35,0.32,0.39,0.26,0.31,0.36,0.34,0.27,0.24,0.1,0.44,0.28,0.36,
17,,Don't know/no answer,*,-,*,-,*,-,*,-,-,-,*,*,-,-,-,*,-,
17,,,* ,- ,* ,- ,0.01,- ,* ,- ,- ,- ,0.01,0.03,- ,- ,- ,0.01,- ,
18,Have the opinions of friends and neighbors influenced your decision to vote for a candidate in the upcoming election?,Yes,106,47,59,29,31,37,83,20,27,58,20,20,18,24,52,18,88,
18,,,0.14,0.13,0.15,0.13,0.15,0.15,0.15,0.13,0.21,0.13,0.13,0.2,0.2,0.15,0.14,0.13,0.14,
18,,No,633,307,326,188,171,210,474,132,100,392,133,79,69,136,323,115,518,
18,,,0.85,0.86,0.84,0.87,0.83,0.84,0.84,0.87,0.78,0.86,0.87,0.79,0.77,0.85,0.85,0.86,0.85,
18,,Don't know/no answer,6,3,4,*,3,2,5,*,*,5,1,1,3,-,3,1,5,
18,,,0.01,0.01,0.01,* ,0.01,0.01,0.01,* ,* ,0.01,0.01,0.01,0.03,- ,0.01,0.01,0.01,
19,How much did the opinions of friends and neighbors influence your decision?,Great deal,11,5,5,1,4,4,8,3,3,4,4,3,1,3,5,2,8,
19,,,0.1,0.11,0.09,0.02,0.13,0.12,0.1,0.14,0.1,0.07,0.2,0.16,0.08,0.14,0.1,0.13,0.09,
19,,Good amount,40,14,26,8,11,14,25,15,13,23,3,5,8,12,16,5,35,
19,,,0.38,0.29,0.45,0.3,0.37,0.39,0.3,0.73,0.47,0.4,0.15,0.23,0.44,0.52,0.3,0.3,0.39,
19,,Less than that,55,28,26,19,16,18,50,3,12,31,12,12,9,8,31,10,45,
19,,,0.52,0.6,0.45,0.68,0.5,0.48,0.6,0.13,0.43,0.53,0.63,0.61,0.48,0.34,0.59,0.55,0.51,
19,,Don't know/no answer,*,-,*,-,-,*,*,-,-,-,*,-,-,-,*,*,-,
19,,,* ,- ,0.01,- ,- ,0.01,* ,- ,- ,- ,0.02,- ,- ,- ,0.01,0.02,- ,
20,"Do you feel the special election is more important than past elections, less important or as important as past elections?",More important,390,169,220,140,103,111,303,75,67,228,89,56,48,80,208,69,321,
20,,,0.52,0.48,0.57,0.65,0.5,0.45,0.54,0.49,0.53,0.5,0.58,0.56,0.53,0.5,0.55,0.51,0.53,
20,,Less important,19,11,8,1,8,7,11,8,6,11,2,2,2,8,7,7,12,
20,,,0.03,0.03,0.02,* ,0.04,0.03,0.02,0.05,0.04,0.02,0.01,0.02,0.02,0.05,0.02,0.05,0.02,
20,,As important,333,175,159,76,93,130,245,70,53,215,62,42,40,72,160,59,275,
20,,,0.45,0.49,0.41,0.35,0.45,0.52,0.44,0.46,0.42,0.47,0.4,0.42,0.45,0.45,0.42,0.44,0.45,
20,,Don't know/no answer,3,1,2,-,2,2,3,-,2,1,*,-,*,-,3,-,3,
20,,,* ,* ,* ,- ,0.01,0.01,0.01,- ,0.01,* ,* ,- ,* ,- ,0.01,- ,0.01,
21,Do you have a favorable or unfavorable impression of Donald Trump?,Favorable,259,136,123,5,140,82,231,19,24,161,73,65,27,63,121,55,204,
21,,,0.35,0.38,0.32,0.02,0.68,0.33,0.41,0.12,0.19,0.35,0.48,0.65,0.3,0.39,0.32,0.41,0.33,
21,,Unfavorable,427,184,243,205,53,146,292,120,93,260,69,27,58,92,227,66,361,
21,,,0.57,0.52,0.63,0.95,0.26,0.59,0.52,0.79,0.73,0.57,0.45,0.27,0.65,0.58,0.6,0.49,0.59,
21,,Don't know/no answer,59,37,22,6,12,21,40,14,11,34,12,8,5,5,30,13,46,
21,,,0.08,0.1,0.06,0.03,0.06,0.08,0.07,0.09,0.08,0.07,0.07,0.08,0.05,0.03,0.08,0.1,0.08,
22,Do you have a favorable or unfavorable impression of Mike Pence?,Favorable,329,188,142,10,173,111,288,32,42,202,82,83,29,75,158,60,269,
22,,,0.44,0.53,0.36,0.04,0.84,0.44,0.51,0.21,0.33,0.44,0.54,0.83,0.33,0.47,0.42,0.45,0.44,
22,,Unfavorable,357,140,216,199,17,121,232,110,76,217,60,15,52,76,195,56,301,
22,,,0.48,0.39,0.56,0.92,0.08,0.49,0.41,0.72,0.59,0.48,0.39,0.14,0.58,0.48,0.51,0.41,0.49,
22,,Don't know/no answer,60,29,31,8,15,17,43,11,10,36,11,2,8,8,25,18,41,
22,,,0.08,0.08,0.08,0.04,0.07,0.07,0.08,0.07,0.08,0.08,0.07,0.02,0.09,0.05,0.07,0.14,0.07,
23,Do you have a favorable or unfavorable impression of Karen Handel?,Favorable,312,169,142,14,172,99,279,26,35,199,76,80,29,68,161,66,246,
23,,,0.42,0.48,0.37,0.06,0.84,0.4,0.5,0.17,0.27,0.44,0.5,0.8,0.33,0.43,0.43,0.49,0.4,
23,,Unfavorable,373,150,223,193,25,128,251,107,78,224,65,16,54,74,202,57,316,
23,,,0.5,0.42,0.57,0.89,0.12,0.51,0.45,0.7,0.61,0.49,0.43,0.16,0.61,0.46,0.53,0.43,0.52,
23,,Don't know/no answer,61,37,24,11,9,23,33,20,15,32,12,4,6,17,15,11,50,
23,,,0.08,0.1,0.06,0.05,0.04,0.09,0.06,0.13,0.11,0.07,0.08,0.04,0.07,0.11,0.04,0.08,0.08,
24,Do you have a favorable or unfavorable impression of Jon Ossoff?,Favorable,386,152,234,205,25,133,252,121,74,243,63,16,55,81,201,56,330,
24,,,0.52,0.43,0.6,0.94,0.12,0.53,0.45,0.79,0.58,0.53,0.41,0.16,0.61,0.5,0.53,0.42,0.54,
24,,Unfavorable,313,176,137,6,172,98,284,20,44,185,81,81,29,70,160,67,246,
24,,,0.42,0.49,0.35,0.03,0.84,0.39,0.5,0.13,0.34,0.41,0.53,0.8,0.33,0.44,0.42,0.5,0.4,
24,,Don't know/no answer,46,29,17,6,8,18,27,11,10,27,9,3,5,9,17,11,35,
24,,,0.06,0.08,0.04,0.03,0.04,0.07,0.05,0.07,0.08,0.06,0.06,0.03,0.06,0.06,0.04,0.08,0.06,
25,Do you have a favorable or unfavorable impression of the Democratic Party?,Favorable,319,123,195,189,18,95,209,101,58,203,52,17,53,68,157,56,262,
25,,,0.43,0.35,0.5,0.87,0.09,0.38,0.37,0.66,0.45,0.45,0.34,0.17,0.6,0.43,0.41,0.42,0.43,
25,,Unfavorable,358,202,157,16,174,125,311,35,58,213,84,79,28,80,187,67,291,
25,,,0.48,0.57,0.4,0.07,0.85,0.5,0.55,0.23,0.45,0.47,0.55,0.78,0.32,0.5,0.49,0.5,0.48,
25,,Don't know/no answer,69,32,37,12,13,29,43,17,12,40,17,5,8,12,34,11,58,
25,,,0.09,0.09,0.1,0.05,0.06,0.12,0.08,0.11,0.09,0.09,0.11,0.05,0.09,0.07,0.09,0.08,0.09,
26,Do you have a favorable or unfavorable impression of the Republican Party?,Favorable,260,145,115,7,160,66,232,19,38,148,72,71,30,65,115,65,195,
26,,,0.35,0.41,0.3,0.03,0.78,0.26,0.41,0.12,0.29,0.33,0.47,0.71,0.33,0.4,0.3,0.49,0.32,
26,,Unfavorable,413,174,239,201,32,150,284,116,81,262,66,25,54,87,223,61,352,
26,,,0.55,0.49,0.61,0.93,0.15,0.6,0.51,0.76,0.63,0.57,0.43,0.25,0.6,0.54,0.59,0.46,0.58,
26,,Don't know/no answer,72,38,34,9,13,33,47,18,9,46,15,4,6,8,40,8,65,
26,,,0.1,0.11,0.09,0.04,0.06,0.13,0.08,0.12,0.07,0.1,0.1,0.04,0.07,0.05,0.11,0.06,0.11,
27,Do you have a favorable or unfavorable impression of Nancy Pelosi?,Favorable,230,86,144,154,9,60,142,83,39,141,47,10,31,55,113,30,200,
27,,,0.31,0.24,0.37,0.71,0.04,0.24,0.25,0.55,0.3,0.31,0.3,0.1,0.34,0.34,0.3,0.23,0.33,
27,,Unfavorable,431,233,198,35,187,161,366,48,69,267,92,90,44,88,229,87,345,
27,,,0.58,0.65,0.51,0.16,0.91,0.64,0.65,0.32,0.54,0.59,0.6,0.89,0.5,0.55,0.61,0.64,0.56,
27,,Don't know/no answer,84,37,47,28,10,28,54,21,20,47,15,1,14,16,36,17,67,
27,,,0.11,0.1,0.12,0.13,0.05,0.11,0.1,0.14,0.16,0.1,0.1,0.01,0.16,0.1,0.1,0.13,0.11,
28,Do you have a favorable or unfavorable impression of the House GOP Obamacare replacement bill?,Favorable,183,99,84,10,105,49,162,13,25,112,45,42,17,44,92,35,148,
28,,,0.25,0.28,0.22,0.04,0.51,0.19,0.29,0.09,0.2,0.25,0.29,0.42,0.19,0.27,0.24,0.26,0.24,
28,,Unfavorable,464,203,261,202,62,164,320,129,90,286,83,38,61,95,241,75,389,
28,,,0.62,0.57,0.67,0.93,0.3,0.66,0.57,0.85,0.71,0.63,0.54,0.38,0.68,0.59,0.64,0.56,0.64,
28,,Don't know/no answer,98,55,44,6,39,37,81,10,12,58,26,21,12,22,45,25,74,
28,,,0.13,0.15,0.11,0.03,0.19,0.15,0.14,0.07,0.1,0.13,0.17,0.2,0.14,0.13,0.12,0.18,0.12,
29,Do you think things in this country are generally going in the right direction or do you feel things have gotten pretty seriously off on the wrong track?,Right direction,225,128,97,8,123,73,203,18,34,131,59,50,29,54,102,50,175,
29,,,0.3,0.36,0.25,0.03,0.6,0.29,0.36,0.12,0.27,0.29,0.38,0.5,0.32,0.34,0.27,0.37,0.29,
29,,Wrong track,481,208,272,206,73,162,330,130,88,298,89,46,58,99,259,78,402,
29,,,0.64,0.58,0.7,0.95,0.36,0.65,0.59,0.85,0.69,0.65,0.58,0.46,0.65,0.62,0.69,0.58,0.66,
29,,Don't know/no answer,39,20,19,3,9,15,30,4,6,26,6,4,3,7,16,6,34,
29,,,0.05,0.06,0.05,0.01,0.05,0.06,0.05,0.03,0.04,0.06,0.04,0.04,0.03,0.04,0.04,0.04,0.06,
30,How concerned are you about healthcare costs?,Very or somewhat concerned,701,327,374,210,186,237,530,145,125,428,140,90,86,154,352,124,577,
30,,,0.94,0.92,0.96,0.97,0.91,0.95,0.94,0.95,0.98,0.94,0.92,0.9,0.96,0.96,0.93,0.92,0.94,
30,,Not too or not at all concerned,42,28,13,6,19,13,31,8,2,26,12,10,4,6,25,10,31,
30,,,0.06,0.08,0.03,0.03,0.09,0.05,0.05,0.05,0.02,0.06,0.08,0.1,0.04,0.04,0.07,0.08,0.05,
30,,Don't know/no answer,2,1,1,1,-,-,1,-,-,2,-,-,-,-,1,-,2,
30,,,* ,* ,* ,* ,- ,- ,* ,- ,- ,* ,- ,- ,- ,- ,* ,- ,* ,
31,How concerned are you about government spending?,Very or somewhat concerned,677,319,358,183,191,235,513,139,120,417,135,96,83,143,344,127,550,
31,,,0.91,0.89,0.92,0.84,0.93,0.94,0.91,0.91,0.94,0.91,0.88,0.95,0.93,0.90,0.91,0.95,0.90,
31,,Not too or not at all concerned,60,34,26,30,14,14,48,10,8,33,18,4,6,14,34,5,55,
31,,,0.08,0.10,0.07,0.14,0.07,0.06,0.08,0.07,0.06,0.07,0.12,0.04,0.07,0.09,0.09,0.04,0.09,
31,,Don't know/no answer,5,2,3,2,-,-,1,4,-,3,1,-,-,2,-,2,4,
31,,,0.01,0.01,0.01,0.01,- ,- ,* ,0.02,- ,0.01,* ,- ,- ,0.02,- ,0.01,0.01,
32,How concerned are you about the threat of terrorism?,Very or somewhat concerned,651,307,344,189,195,204,499,127,106,395,143,93,76,144,330,120,530,
32,,,0.87,0.86,0.88,0.87,0.95,0.82,0.89,0.84,0.83,0.87,0.93,0.92,0.85,0.90,0.87,0.90,0.87,
32,,Not too or not at all concerned,92,50,42,28,10,44,62,25,22,58,10,8,12,16,48,14,78,
32,,,0.12,0.14,0.11,0.13,0.05,0.18,0.11,0.16,0.17,0.13,0.07,0.08,0.13,0.10,0.13,0.10,0.13,
32,,Don't know/no answer,3,-,3,-,-,2,2,-,-,3,-,-,2,-,-,-,3,
32,,,* ,- ,0.01,- ,- ,0.01,* ,- ,- ,0.01,- ,- ,0.02,- ,- ,- ,* ,
33,How concerned are you about the job market?,Very or somewhat concerned,538,233,305,166,146,172,399,115,100,322,111,75,72,124,255,106,431,
33,,,0.72,0.65,0.78,0.77,0.71,0.69,0.71,0.76,0.78,0.71,0.72,0.75,0.80,0.78,0.68,0.79,0.71,
33,,Not too or not at all concerned,194,113,81,47,58,72,156,33,27,123,40,24,15,34,116,24,170,
33,,,0.26,0.32,0.21,0.21,0.28,0.29,0.28,0.22,0.21,0.27,0.26,0.24,0.17,0.21,0.31,0.18,0.28,
