qnum,Question,Responses,Registered voters,Male,Female,Democrat,Republican,Independent,White,Black,18-39,40-64,65+,White Protestant Evangelical,North,Atlanta Exurbs,Atlanta Metro,Southeast,Southwest
4,,,0.07,0.09,0.07,0.01,0.04,0.13,0.08,0.04,0.1,0.07,0.03,0.04,0.14,0.01,0.06,0.08,0.09
5,Do you have a favorable or unfavorable impression of Donald Trump?,Favorable,378,204,174,25,228,92,322,32,93,189,93,113,77,47,133,68,53
5,,,0.45,0.52,0.39,0.1,0.88,0.37,0.66,0.13,0.33,0.48,0.57,0.76,0.56,0.58,0.36,0.49,0.45
5,,Unfavorable,395,158,237,201,22,132,137,201,169,168,56,24,52,29,201,57,55
5,,,0.47,0.4,0.53,0.83,0.09,0.53,0.28,0.78,0.6,0.43,0.34,0.16,0.39,0.36,0.55,0.41,0.46
5,,Don't know/no answer,67,30,37,16,9,24,28,23,19,35,13,12,7,5,32,13,10
5,,,0.08,0.08,0.08,0.06,0.04,0.1,0.06,0.09,0.07,0.09,0.08,0.08,0.05,0.06,0.09,0.09,0.09
6,Do you approve or disapprove of the way Trump is handling the transition and his preparations for becoming president?,Approve,413,216,197,30,227,119,335,45,100,217,94,119,77,52,147,76,60
6,,,0.49,0.55,0.44,0.13,0.88,0.48,0.69,0.18,0.36,0.55,0.58,0.8,0.56,0.65,0.4,0.55,0.51
6,,Disapprove,374,148,226,201,22,112,130,191,157,151,62,23,54,24,192,54,51
6,,,0.45,0.38,0.5,0.83,0.08,0.45,0.27,0.74,0.56,0.39,0.38,0.16,0.4,0.29,0.52,0.39,0.43
6,,Don't know/no answer,53,28,25,11,10,17,23,21,23,24,6,6,5,5,27,9,7
6,,,0.06,0.07,0.06,0.04,0.04,0.07,0.05,0.08,0.08,0.06,0.04,0.04,0.04,0.06,0.07,0.06,0.06
7,"What kind of president do you think Trump will be: a great president, good, average, poor, or a terrible president?",Great,164,87,77,4,106,43,144,12,35,88,40,55,29,22,47,33,33
7,,,0.2,0.22,0.17,0.02,0.41,0.17,0.29,0.05,0.13,0.22,0.24,0.37,0.22,0.27,0.13,0.24,0.28
7,,Good,211,113,97,11,110,67,169,25,54,104,51,61,43,29,82,37,20
7,,,0.25,0.29,0.22,0.05,0.42,0.27,0.35,0.1,0.19,0.27,0.32,0.41,0.32,0.35,0.22,0.27,0.17
7,,Average,142,66,76,45,35,48,71,44,77,51,14,15,20,10,72,22,19
7,,,0.17,0.17,0.17,0.18,0.14,0.19,0.15,0.17,0.28,0.13,0.09,0.1,0.14,0.12,0.2,0.16,0.16
7,,Poor ,79,43,36,40,3,25,26,41,31,34,13,6,6,5,48,8,11
7,,,0.09,0.11,0.08,0.17,0.01,0.1,0.05,0.16,0.11,0.09,0.08,0.04,0.04,0.07,0.13,0.06,0.09
7,,Terrible,198,59,139,127,1,54,60,117,73,91,33,6,32,11,99,27,29
7,,,0.24,0.15,0.31,0.53,0.01,0.22,0.12,0.46,0.26,0.23,0.2,0.04,0.23,0.14,0.27,0.19,0.25
7,,Don't know/no answer,46,23,23,14,4,12,18,18,10,25,11,6,6,5,18,12,5
7,,,0.05,0.06,0.05,0.06,0.01,0.05,0.04,0.07,0.04,0.06,0.07,0.04,0.05,0.06,0.05,0.08,0.05
8,"Do you think Trump's presidency will bring positive change to georgia, negative change, or do you think nothing will really change?",Positive change,377,201,175,25,217,104,310,44,94,191,89,112,74,56,130,69,47
8,,,0.45,0.51,0.39,0.1,0.84,0.42,0.63,0.17,0.34,0.49,0.55,0.75,0.55,0.69,0.36,0.5,0.4
8,,Negative change,189,53,136,112,1,55,64,98,75,85,28,9,34,10,95,22,28
8,,,0.23,0.14,0.3,0.47,0.01,0.22,0.13,0.38,0.27,0.22,0.17,0.06,0.25,0.13,0.26,0.16,0.24
8,,No change,246,124,122,92,38,85,105,99,104,102,39,25,25,13,125,42,41
8,,,0.29,0.32,0.27,0.38,0.15,0.34,0.22,0.39,0.37,0.26,0.24,0.17,0.19,0.16,0.34,0.3,0.34
8,,Don't know/no answer,28,14,14,12,3,5,9,15,8,14,6,3,3,2,16,6,2
8,,,0.03,0.04,0.03,0.05,0.01,0.02,0.02,0.06,0.03,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.02
9,Do you approve or disapprove of the individuals Trump has appointed to posts in his administration?,Approve,394,216,179,27,227,106,332,36,95,201,97,117,80,53,132,72,56
9,,,0.47,0.55,0.4,0.11,0.88,0.43,0.68,0.14,0.34,0.51,0.6,0.79,0.59,0.66,0.36,0.52,0.48
9,,Disapprove,347,131,215,189,12,105,109,183,153,144,47,16,45,23,181,50,47
9,,,0.41,0.33,0.48,0.78,0.05,0.42,0.22,0.72,0.55,0.37,0.29,0.11,0.33,0.28,0.49,0.36,0.4
9,,Approve some/disapprove some,32,15,17,11,6,14,16,12,11,13,8,5,2,2,19,4,5
9,,,0.04,0.04,0.04,0.04,0.02,0.06,0.03,0.05,0.04,0.03,0.05,0.03,0.02,0.02,0.05,0.03,0.04
9,,Don't know/no answer,67,30,37,15,14,24,30,24,21,34,11,10,8,3,34,12,10
9,,,0.08,0.08,0.08,0.06,0.05,0.1,0.06,0.1,0.08,0.09,0.07,0.07,0.06,0.04,0.09,0.09,0.08
10,You may have heard that Gov. Deal vetoed Georgia's religious liberty bill. Supporters say the bill would protect people of any religion from government  interference. Critics argued the bill would lead to discrimination against gays and lesbians. Would you support or oppose Georgia lawmakers attempting to pass the  religious liberty bill again?,Support,339,153,186,83,139,78,207,96,109,161,67,74,67,33,141,56,42
10,,,0.4,0.39,0.42,0.35,0.54,0.31,0.42,0.37,0.39,0.41,0.41,0.5,0.49,0.4,0.38,0.4,0.36
10,,Oppose,367,169,198,129,78,134,194,129,131,169,66,43,50,34,179,52,53
10,,,0.44,0.43,0.44,0.53,0.3,0.54,0.4,0.5,0.47,0.43,0.41,0.29,0.36,0.41,0.49,0.37,0.45
10,,Don't know/no answer,134,71,64,29,43,37,87,32,41,62,30,31,20,15,46,31,23
10,,,0.16,0.18,0.14,0.12,0.16,0.15,0.18,0.12,0.15,0.16,0.18,0.21,0.15,0.18,0.13,0.22,0.19
11,Gov. Deal also vetoed a bill that would have allowed anyone age 21 and older with a weapons license to carry a concealed gun in most places on public college  campuses. Would you support or oppose Georgia lawmakers attempting to pass this bill again?,Support,363,202,160,53,168,103,266,59,142,162,58,94,68,48,140,66,40
11,,,0.43,0.52,0.36,0.22,0.65,0.41,0.54,0.23,0.51,0.41,0.36,0.64,0.5,0.59,0.38,0.48,0.34
11,,Oppose,450,180,270,183,83,138,201,192,128,221,96,49,67,31,212,65,76
11,,,0.54,0.46,0.6,0.76,0.32,0.55,0.41,0.75,0.46,0.56,0.59,0.33,0.49,0.38,0.58,0.47,0.64
11,,Don't know/no answer,27,10,18,6,8,8,21,5,10,9,8,5,1,3,14,8,2
11,,,0.03,0.03,0.04,0.02,0.03,0.03,0.04,0.02,0.04,0.02,0.05,0.04,0.01,0.03,0.04,0.06,0.02
12,How satisfied are you with the way things are going in Georgia today?,Very satisfied,60,39,22,12,27,14,41,14,22,22,16,13,17,6,15,15,7
12,,,0.07,0.1,0.05,0.05,0.11,0.06,0.08,0.05,0.08,0.06,0.1,0.09,0.13,0.08,0.04,0.11,0.06
12,,Somewhat satisfied,499,250,249,123,182,146,322,133,152,237,108,107,79,48,223,76,72
12,,,0.59,0.64,0.56,0.51,0.7,0.59,0.66,0.52,0.54,0.6,0.66,0.72,0.58,0.6,0.61,0.55,0.61
12,,Somewhat dissatisfied,201,84,117,71,40,68,94,68,69,104,25,25,24,19,99,37,23
12,,,0.24,0.21,0.26,0.3,0.15,0.27,0.19,0.26,0.24,0.27,0.15,0.17,0.17,0.24,0.27,0.27,0.19
12,,Very dissatisfied,71,18,54,31,10,20,27,38,33,28,11,3,15,4,28,9,15
12,,,0.08,0.04,0.12,0.13,0.04,0.08,0.05,0.15,0.12,0.07,0.07,0.02,0.11,0.05,0.08,0.07,0.13
12,,Don't know/no answer,9,2,7,4,1,1,3,4,6,1,2,-,2,3,1,2,*
12,,,0.01,* ,0.02,0.02,* ,* ,0.01,0.01,0.02,* ,0.01,- ,0.01,0.04,* ,0.01,* 
13,"would you describe the state of georgia's economy these days as excellent, good, not so good, or poor?",Excellent,34,28,6,7,13,11,23,7,13,13,8,5,6,3,19,5,2
13,,,0.04,0.07,0.01,0.03,0.05,0.04,0.05,0.03,0.05,0.03,0.05,0.03,0.04,0.03,0.05,0.03,0.02
13,,Good,459,229,229,123,155,130,283,130,156,223,78,89,76,45,232,50,57
13,,,0.55,0.58,0.51,0.51,0.6,0.52,0.58,0.5,0.56,0.57,0.48,0.6,0.56,0.56,0.63,0.36,0.48
13,,Not so good,252,113,139,77,71,75,136,80,74,117,59,43,38,29,82,59,44
13,,,0.3,0.29,0.31,0.32,0.27,0.3,0.28,0.31,0.26,0.3,0.36,0.29,0.28,0.36,0.22,0.43,0.37
13,,Poor ,80,18,63,32,19,28,38,37,32,36,13,10,15,3,24,23,15
13,,,0.1,0.05,0.14,0.13,0.07,0.11,0.08,0.15,0.11,0.09,0.08,0.07,0.11,0.03,0.07,0.17,0.12
13,,Don't know/no answer,14,4,10,4,3,5,7,2,5,4,5,2,1,2,9,2,1
13,,,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.01
14,What is the single most important issue facing Georgia today?,Economy/jobs,242,121,121,60,90,75,146,72,66,123,52,55,40,18,95,52,37
14,,,0.29,0.31,0.27,0.25,0.35,0.3,0.3,0.28,0.24,0.31,0.32,0.37,0.29,0.23,0.26,0.37,0.31
14,,Taxes,16,10,6,3,6,4,12,3,3,8,4,3,1,4,2,5,4
14,,,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.01,0.05,* ,0.03,0.04
14,,Workforce,22,10,12,9,6,6,13,9,8,14,1,2,5,6,6,3,2
14,,,0.03,0.03,0.03,0.04,0.02,0.02,0.03,0.04,0.03,0.03,0.01,0.02,0.04,0.07,0.02,0.02,0.02
14,,Quality of schools/education,88,36,52,25,27,26,55,18,35,37,16,21,17,9,31,15,15
14,,,0.1,0.09,0.12,0.11,0.1,0.1,0.11,0.07,0.12,0.09,0.1,0.14,0.13,0.12,0.09,0.11,0.13
14,,Transportation,21,12,9,5,7,5,14,6,7,12,1,3,-,3,17,-,2
14,,,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.01,0.02,- ,0.03,0.05,- ,0.02
14,,Crime/public safety,71,25,46,26,16,18,19,35,30,23,16,7,11,7,37,6,10
14,,,0.08,0.06,0.1,0.11,0.06,0.07,0.04,0.14,0.11,0.06,0.1,0.05,0.08,0.08,0.1,0.05,0.09
14,,Quality of life,9,3,6,3,1,3,4,4,1,5,3,1,2,-,4,3,-
14,,,0.01,0.01,0.01,0.01,* ,0.01,0.01,0.02,* ,0.01,0.02,0.01,0.01,- ,0.01,0.02,- 
14,,Moral issues,12,2,9,3,6,2,8,1,3,5,4,3,4,*,4,3,*
14,,,0.01,0.01,0.02,0.01,0.02,0.01,0.02,* ,0.01,0.01,0.02,0.02,0.03,* ,0.01,0.02,* 
14,,State leadership,7,5,2,2,1,2,4,1,-,4,2,1,1,-,3,*,2
14,,,0.01,0.01,* ,0.01,* ,0.01,0.01,* ,- ,0.01,0.01,0.01,0.01,- ,0.01,* ,0.02
14,,Health care,45,19,27,17,11,10,26,13,2,33,10,6,6,6,23,6,4
14,,,0.05,0.05,0.06,0.07,0.04,0.04,0.05,0.05,0.01,0.08,0.06,0.04,0.04,0.08,0.06,0.05,0.03
14,,Something else ,210,107,103,62,58,68,131,63,88,95,27,29,31,23,97,35,25
14,,,0.25,0.27,0.23,0.26,0.22,0.27,0.27,0.24,0.32,0.24,0.17,0.19,0.23,0.28,0.26,0.25,0.21
14,,Don't know/no answer,97,43,54,26,30,31,56,30,37,34,25,17,18,5,47,10,17
14,,,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.12,0.13,0.09,0.15,0.11,0.14,0.06,0.13,0.07,0.14
15,Do you favor or oppose allowing casino gambling in Georgia?,Favor,467,223,245,152,121,142,246,166,170,219,77,60,71,50,208,77,62
15,,,0.56,0.57,0.55,0.63,0.47,0.57,0.5,0.65,0.6,0.56,0.47,0.4,0.52,0.62,0.57,0.55,0.52
15,,Oppose,319,142,178,79,123,88,201,84,85,157,74,82,60,27,132,52,48
15,,,0.38,0.36,0.4,0.33,0.48,0.35,0.41,0.33,0.3,0.4,0.46,0.55,0.44,0.33,0.36,0.37,0.4
15,,Don't know/no answer,54,28,26,10,15,19,41,6,26,17,12,6,5,4,26,10,9
15,,,0.06,0.07,0.06,0.04,0.06,0.08,0.08,0.02,0.09,0.04,0.07,0.04,0.04,0.05,0.07,0.07,0.08
16,Would you support or oppose expanding school choice for parents in Georgia? Supporters say expanding school choice offers parents more opportunities for their  children. Opponents say it could undercut public school funding. ,Support,513,249,264,121,184,155,313,138,175,239,96,95,86,47,235,86,60
16,,,0.61,0.63,0.59,0.5,0.71,0.62,0.64,0.54,0.62,0.61,0.59,0.64,0.63,0.57,0.64,0.62,0.5
16,,Oppose,278,121,157,103,64,78,148,101,92,138,47,44,44,32,114,38,50
16,,,0.33,0.31,0.35,0.43,0.25,0.32,0.3,0.4,0.33,0.35,0.29,0.3,0.32,0.4,0.31,0.27,0.43
16,,Don't know/no answer,49,22,27,17,11,16,27,17,14,15,19,9,6,2,18,15,8
16,,,0.06,0.06,0.06,0.07,0.04,0.06,0.05,0.07,0.05,0.04,0.12,0.06,0.04,0.03,0.05,0.11,0.07
17,Would you still support it if it meant public tax dollars going to private or religious schools where parents get government-funded school vouchers to pay for  tuition?,Still support,352,187,165,72,133,109,224,87,121,163,66,76,55,33,175,41,48
17,,,0.69,0.75,0.62,0.6,0.72,0.7,0.72,0.63,0.69,0.68,0.68,0.8,0.64,0.7,0.75,0.48,0.8
17,,Now oppose,143,52,91,44,45,39,79,44,51,66,25,16,30,9,51,42,11
17,,,0.28,0.21,0.34,0.36,0.25,0.25,0.25,0.32,0.29,0.28,0.26,0.16,0.34,0.19,0.22,0.48,0.19
17,,Don't know/no answer,18,10,8,5,5,7,9,6,3,10,5,3,2,5,8,3,*
17,,,0.04,0.04,0.03,0.04,0.03,0.04,0.03,0.04,0.02,0.04,0.05,0.04,0.02,0.1,0.03,0.04,0.01
18,Do you think the state's medical marijuana law should be expanded to allow the harvesting and distribution of medical marijuana with strict controls within the state?,Should be expanded,598,287,311,186,160,181,345,187,226,284,85,86,101,61,285,82,70
18,,,0.71,0.73,0.69,0.77,0.62,0.73,0.71,0.73,0.81,0.72,0.52,0.58,0.74,0.75,0.78,0.59,0.59
18,,Should not be expanded,223,98,125,53,96,58,129,66,52,101,69,56,33,19,72,52,47
18,,,0.27,0.25,0.28,0.22,0.37,0.23,0.26,0.26,0.18,0.26,0.43,0.38,0.25,0.23,0.2,0.37,0.4
18,,Don't know/no answer,19,7,12,3,4,10,14,3,3,7,9,6,2,2,9,5,1
18,,,0.02,0.02,0.03,0.01,0.02,0.04,0.03,0.01,0.01,0.02,0.05,0.04,0.01,0.02,0.03,0.04,0.01
19,"Should Georgia legalize the use of marijuana by adults for any purpose, or not?",Should legalize,388,201,187,131,80,127,201,134,190,166,31,42,68,28,192,58,43
19,,,0.46,0.51,0.42,0.54,0.31,0.51,0.41,0.52,0.68,0.42,0.19,0.29,0.5,0.34,0.53,0.42,0.36
19,,Should not legalize,428,185,243,107,172,112,268,119,81,220,125,102,66,53,161,74,74
19,,,0.51,0.47,0.54,0.44,0.66,0.45,0.55,0.47,0.29,0.56,0.77,0.68,0.49,0.65,0.44,0.53,0.63
19,,Don't know/no answer,24,6,18,4,7,10,19,3,9,7,7,5,2,1,12,7,1
19,,,0.03,0.02,0.04,0.01,0.03,0.04,0.04,0.01,0.03,0.02,0.04,0.03,0.02,0.01,0.03,0.05,0.01
20,Should restaurants be allowed to serve alcohol before 12:30 p.m. on sundays if permitted by local governments?,"Yes, should be allowed",481,247,234,139,123,165,286,137,197,214,67,68,77,47,230,78,48
20,,,0.57,0.63,0.52,0.58,0.47,0.66,0.59,0.53,0.7,0.54,0.41,0.46,0.57,0.58,0.63,0.56,0.41
20,,"No, should not be allowed",344,136,208,97,135,78,197,116,80,169,94,79,56,34,129,56,68
20,,,0.41,0.35,0.46,0.4,0.52,0.31,0.4,0.45,0.28,0.43,0.58,0.53,0.41,0.42,0.35,0.41,0.58
20,,Don't know/no answer,15,9,7,6,2,7,6,3,4,10,2,2,3,*,7,4,1
20,,,0.02,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.03,0.01
21,"Should Georgia expand eligibility for Medicaid, which provides health care to the poor?",Should expand,627,285,343,222,148,185,312,237,228,294,102,70,104,55,279,98,90
21,,,0.75,0.73,0.76,0.92,0.57,0.74,0.64,0.93,0.81,0.75,0.63,0.47,0.76,0.68,0.76,0.71,0.77
21,,Should not expand,171,85,86,17,91,51,145,13,41,78,52,69,28,26,64,36,19
21,,,0.2,0.22,0.19,0.07,0.35,0.21,0.3,0.05,0.14,0.2,0.32,0.46,0.2,0.32,0.17,0.26,0.16
21,,Don't know/no answer,42,23,19,3,20,12,32,6,12,20,9,10,5,*,23,5,9
21,,,0.05,0.06,0.04,0.01,0.08,0.05,0.06,0.02,0.04,0.05,0.05,0.06,0.03,* ,0.06,0.04,0.08
22,What do you think is the best approach to the Affordable Care Act or Obamacare?,Repeal all of it,241,128,114,11,141,68,210,11,65,119,56,81,45,37,79,47,33
22,,,0.29,0.33,0.25,0.05,0.54,0.27,0.43,0.04,0.23,0.3,0.34,0.54,0.33,0.45,0.22,0.34,0.28
22,,Repeal parts of it,364,173,192,91,105,125,228,95,124,174,65,59,60,30,161,61,53
22,,,0.43,0.44,0.43,0.38,0.4,0.5,0.47,0.37,0.44,0.44,0.4,0.4,0.44,0.37,0.44,0.44,0.45
22,,Let it stand as is,201,76,125,128,7,50,38,138,82,82,36,6,21,14,109,26,30
22,,,0.24,0.19,0.28,0.53,0.03,0.2,0.08,0.54,0.29,0.21,0.22,0.04,0.16,0.17,0.3,0.19,0.25
22,,Wait and see before deciding,12,7,4,6,2,*,7,3,4,6,1,4,4,-,6,2,-
22,,,0.01,0.02,0.01,0.02,0.01,* ,0.01,0.01,0.01,0.02,0.01,0.02,0.03,- ,0.02,0.01,- 
22,,Don't know/no answer,22,9,13,5,4,6,6,9,6,11,4,-,6,1,11,2,2
22,,,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.04,0.02,0.03,0.03,- ,0.05,0.01,0.03,0.01,0.02
